"Disease","Report Year","DHBName","Case Count","Case rate per 100,000"
"Cysticercosis",2009,"Waitemata",0,0
"Leptospirosis",2009,"Waitemata",1,0.2
"Yersiniosis",2009,"Waitemata",51,10
"Typhoid fever",2009,"Waitemata",5,1
"Shigellosis",2009,"Waitemata",23,4.5
"Meningococcal disease",2009,"Waitemata",6,1.2
"Giardiasis",2009,"Waitemata",155,30.5
"Trichinosis",2009,"Waitemata",0,0
"Malaria",2009,"Waitemata",7,1.4
"Tetanus",2009,"Waitemata",0,0
"Diphtheria",2009,"Waitemata",0,0
"Mpox",2009,"Waitemata",0,0
"Rubella",2009,"Waitemata",0,0
"Hepatitis A",2009,"Waitemata",3,0.6
"Poliomyelitis",2009,"Waitemata",0,0
"Paratyphoid fever",2009,"Waitemata",5,1
"Measles",2009,"Waitemata",13,2.6
"Rheumatic fever",2009,"Waitemata",10,2
"Acute gastroenteritis",2009,"Waitemata",81,16
"Haemophilus influenzae type b",2009,"Waitemata",3,0.6
"Pertussis",2009,"Waitemata",118,23.2
"Q fever",2009,"Waitemata",0,0
"Mumps",2009,"Waitemata",5,1
"Hepatitis C",2009,"Waitemata",1,0.2
"Campylobacteriosis",2009,"Waitemata",914,180.1
"Hydatid disease",2009,"Waitemata",0,0
"Salmonellosis",2009,"Waitemata",88,17.3
"Rickettsial disease",2009,"Waitemata",2,0.4
"Leprosy",2009,"Waitemata",0,0
"Meningoencephalitis - primary amoebic",2009,"Waitemata",0,0
"Cryptosporidiosis",2009,"Auckland",56,13.3
"Invasive pneumococcal disease",2009,"Auckland",49,11.6
"VTEC/STEC infection",2009,"Auckland",18,4.3
"Acute gastroenteritis",2009,"Auckland",98,23.3
"Tuberculosis disease",2009,"Auckland",63,15
"Brucellosis",2009,"Auckland",0,0
"Arboviral diseases",2009,"Auckland",30,7.1
"Taeniasis",2009,"Auckland",2,0.5
"Listeriosis",2009,"Auckland",4,0.9
"Rabies and other lyssaviruses",2009,"Auckland",0,0
"Malaria",2009,"Auckland",6,1.4
"Rubella",2009,"Auckland",1,0.2
"Toxic shellfish poisoning",2009,"Auckland",0,0
"Measles",2009,"Auckland",8,1.9
"Mpox",2009,"Auckland",0,0
"Shigellosis",2009,"Auckland",19,4.5
"Paratyphoid fever",2009,"Auckland",5,1.2
"Trichinosis",2009,"Auckland",0,0
"Typhoid fever",2009,"Auckland",8,1.9
"Hepatitis NOS",2009,"Auckland",1,0.2
"Tetanus",2009,"Auckland",0,0
"Meningoencephalitis - primary amoebic",2009,"Auckland",0,0
"Q fever",2009,"Auckland",0,0
"Cholera",2009,"Auckland",0,0
"Hydatid disease",2009,"Auckland",0,0
"Cysticercosis",2009,"Auckland",0,0
"Yersiniosis",2009,"Auckland",69,16.4
"Rheumatic fever",2009,"Auckland",13,3.1
"Rickettsial disease",2009,"Auckland",0,0
"Leptospirosis",2009,"Auckland",2,0.5
"Salmonellosis",2009,"Auckland",106,25.2
"Meningococcal disease",2009,"Auckland",11,2.6
"Mumps",2009,"Auckland",4,0.9
"Giardiasis",2009,"Auckland",212,50.3
"Diphtheria",2009,"Auckland",0,0
"Campylobacteriosis",2009,"Auckland",811,192.5
"Legionellosis",2009,"Auckland",8,1.9
"Hepatitis A",2009,"Auckland",9,2.1
"Hepatitis B",2009,"Auckland",13,3.1
"Pertussis",2009,"Auckland",66,15.7
"Poliomyelitis",2009,"Auckland",0,0
"Haemophilus influenzae type b",2009,"Auckland",0,0
"Leprosy",2009,"Auckland",0,0
"Hepatitis C",2009,"Auckland",4,0.9
"Invasive pneumococcal disease",2009,"Bay of Plenty",50,25
"Listeriosis",2009,"Bay of Plenty",1,0.5
"Campylobacteriosis",2009,"Bay of Plenty",317,158.7
"Arboviral diseases",2009,"Bay of Plenty",5,2.5
"Giardiasis",2009,"Bay of Plenty",63,31.5
"Mpox",2009,"Bay of Plenty",0,0
"Cryptosporidiosis",2009,"Bay of Plenty",27,13.5
"Trichinosis",2009,"Bay of Plenty",0,0
"Diphtheria",2009,"Bay of Plenty",0,0
"Rabies and other lyssaviruses",2009,"Bay of Plenty",0,0
"Cholera",2009,"Bay of Plenty",0,0
"Brucellosis",2009,"Bay of Plenty",0,0
"Measles",2009,"Bay of Plenty",1,0.5
"Mumps",2009,"Bay of Plenty",5,2.5
"Toxic shellfish poisoning",2009,"Bay of Plenty",1,0.5
"Taeniasis",2009,"Bay of Plenty",0,0
"Meningococcal disease",2009,"Bay of Plenty",9,4.5
"Meningoencephalitis - primary amoebic",2009,"Bay of Plenty",0,0
"VTEC/STEC infection",2009,"Bay of Plenty",9,4.5
"Acute gastroenteritis",2009,"Bay of Plenty",5,2.5
"Tetanus",2009,"Bay of Plenty",0,0
"Rubella",2009,"Bay of Plenty",1,0.5
"Cysticercosis",2009,"Bay of Plenty",0,0
"Malaria",2009,"Bay of Plenty",2,1
"Typhoid fever",2009,"Bay of Plenty",0,0
"Pertussis",2009,"Bay of Plenty",62,31
"Salmonellosis",2009,"Bay of Plenty",41,20.5
"Hepatitis C",2009,"Bay of Plenty",0,0
"Leptospirosis",2009,"Bay of Plenty",3,1.5
"Q fever",2009,"Bay of Plenty",0,0
"Haemophilus influenzae type b",2009,"Bay of Plenty",1,0.5
"Paratyphoid fever",2009,"Bay of Plenty",0,0
"Legionellosis",2009,"Bay of Plenty",9,4.5
"Hepatitis A",2009,"Bay of Plenty",2,1
"Hydatid disease",2009,"Bay of Plenty",0,0
"Shigellosis",2009,"Bay of Plenty",4,2
"Hepatitis B",2009,"Bay of Plenty",3,1.5
"Rheumatic fever",2009,"Bay of Plenty",5,2.5
"Yersiniosis",2009,"Bay of Plenty",6,3
"Leprosy",2009,"Bay of Plenty",1,0.5
"Rickettsial disease",2009,"Bay of Plenty",0,0
"Tuberculosis disease",2009,"Bay of Plenty",12,6
"Hepatitis NOS",2009,"Bay of Plenty",0,0
"Poliomyelitis",2009,"Bay of Plenty",0,0
"Arboviral diseases",2009,"Capital, Coast and Hutt Valley",16,5.8
"Mumps",2009,"Capital, Coast and Hutt Valley",11,4
"Brucellosis",2009,"Capital, Coast and Hutt Valley",0,0
"Cryptosporidiosis",2009,"Capital, Coast and Hutt Valley",148,53.4
"Cholera",2009,"Capital, Coast and Hutt Valley",0,0
"Taeniasis",2009,"Capital, Coast and Hutt Valley",0,0
"Invasive pneumococcal disease",2009,"Capital, Coast and Hutt Valley",60,21.6
"Tetanus",2009,"Capital, Coast and Hutt Valley",0,0
"Measles",2009,"Capital, Coast and Hutt Valley",1,0.4
"Cysticercosis",2009,"Capital, Coast and Hutt Valley",0,0
"VTEC/STEC infection",2009,"Capital, Coast and Hutt Valley",7,2.5
"Typhoid fever",2009,"Capital, Coast and Hutt Valley",5,1.8
"Acute gastroenteritis",2009,"Capital, Coast and Hutt Valley",142,51.2
"Trichinosis",2009,"Capital, Coast and Hutt Valley",0,0
"Rabies and other lyssaviruses",2009,"Capital, Coast and Hutt Valley",0,0
"Hepatitis B",2009,"Capital, Coast and Hutt Valley",2,0.7
"Malaria",2009,"Capital, Coast and Hutt Valley",3,1.1
"Rubella",2009,"Capital, Coast and Hutt Valley",1,0.4
"Diphtheria",2009,"Capital, Coast and Hutt Valley",1,0.4
"Listeriosis",2009,"Capital, Coast and Hutt Valley",2,0.7
"Mpox",2009,"Capital, Coast and Hutt Valley",0,0
"Hepatitis A",2009,"Capital, Coast and Hutt Valley",6,2.2
"Shigellosis",2009,"Capital, Coast and Hutt Valley",12,4.3
"Paratyphoid fever",2009,"Capital, Coast and Hutt Valley",4,1.4
"Poliomyelitis",2009,"Capital, Coast and Hutt Valley",0,0
"Leptospirosis",2009,"Capital, Coast and Hutt Valley",1,0.4
"Meningococcal disease",2009,"Capital, Coast and Hutt Valley",16,5.8
"Giardiasis",2009,"Capital, Coast and Hutt Valley",202,72.8
"Campylobacteriosis",2009,"Capital, Coast and Hutt Valley",1047,377.5
"Q fever",2009,"Capital, Coast and Hutt Valley",0,0
"Hepatitis NOS",2009,"Capital, Coast and Hutt Valley",0,0
"Pertussis",2009,"Capital, Coast and Hutt Valley",157,56.6
"Hepatitis C",2009,"Capital, Coast and Hutt Valley",4,1.4
"Yersiniosis",2009,"Capital, Coast and Hutt Valley",67,24.2
"Legionellosis",2009,"Capital, Coast and Hutt Valley",3,1.1
"Meningoencephalitis - primary amoebic",2009,"Capital, Coast and Hutt Valley",0,0
"Salmonellosis",2009,"Capital, Coast and Hutt Valley",94,33.9
"Rheumatic fever",2009,"Capital, Coast and Hutt Valley",12,4.3
"Toxic shellfish poisoning",2009,"Capital, Coast and Hutt Valley",0,0
"Hydatid disease",2009,"Capital, Coast and Hutt Valley",0,0
"Haemophilus influenzae type b",2009,"Capital, Coast and Hutt Valley",1,0.4
"Tuberculosis disease",2009,"Capital, Coast and Hutt Valley",27,9.7
"Leprosy",2009,"Capital, Coast and Hutt Valley",0,0
"Rickettsial disease",2009,"Capital, Coast and Hutt Valley",0,0
"Invasive pneumococcal disease",2009,"Nelson Marlborough",22,16.6
"Listeriosis",2009,"Nelson Marlborough",0,0
"Rabies and other lyssaviruses",2009,"Nelson Marlborough",0,0
"Taeniasis",2009,"Nelson Marlborough",0,0
"Tetanus",2009,"Nelson Marlborough",0,0
"Mpox",2009,"Nelson Marlborough",0,0
"VTEC/STEC infection",2009,"Nelson Marlborough",2,1.5
"Brucellosis",2009,"Nelson Marlborough",0,0
"Arboviral diseases",2009,"Nelson Marlborough",0,0
"Yersiniosis",2009,"Nelson Marlborough",2,1.5
"Acute gastroenteritis",2009,"Nelson Marlborough",10,7.5
"Leptospirosis",2009,"Nelson Marlborough",2,1.5
"Giardiasis",2009,"Nelson Marlborough",48,36.2
"Cryptosporidiosis",2009,"Nelson Marlborough",24,18.1
"Hepatitis NOS",2009,"Nelson Marlborough",0,0
"Campylobacteriosis",2009,"Nelson Marlborough",173,130.6
"Cholera",2009,"Nelson Marlborough",0,0
"Mumps",2009,"Nelson Marlborough",1,0.8
"Hepatitis A",2009,"Nelson Marlborough",0,0
"Salmonellosis",2009,"Nelson Marlborough",40,30.2
"Hepatitis C",2009,"Nelson Marlborough",0,0
"Malaria",2009,"Nelson Marlborough",2,1.5
"Trichinosis",2009,"Nelson Marlborough",0,0
"Paratyphoid fever",2009,"Nelson Marlborough",0,0
"Hepatitis B",2009,"Nelson Marlborough",2,1.5
"Diphtheria",2009,"Nelson Marlborough",0,0
"Q fever",2009,"Nelson Marlborough",0,0
"Rickettsial disease",2009,"Nelson Marlborough",0,0
"Toxic shellfish poisoning",2009,"Nelson Marlborough",0,0
"Shigellosis",2009,"Nelson Marlborough",2,1.5
"Cysticercosis",2009,"Nelson Marlborough",0,0
"Meningococcal disease",2009,"Nelson Marlborough",0,0
"Measles",2009,"Nelson Marlborough",1,0.8
"Rubella",2009,"Nelson Marlborough",0,0
"Legionellosis",2009,"Nelson Marlborough",1,0.8
"Leprosy",2009,"Nelson Marlborough",0,0
"Poliomyelitis",2009,"Nelson Marlborough",0,0
"Typhoid fever",2009,"Nelson Marlborough",0,0
"Tuberculosis disease",2009,"Nelson Marlborough",4,3
"Pertussis",2009,"Nelson Marlborough",91,68.7
"Hydatid disease",2009,"Nelson Marlborough",0,0
"Rheumatic fever",2009,"Nelson Marlborough",1,0.8
"Meningoencephalitis - primary amoebic",2009,"Nelson Marlborough",0,0
"Haemophilus influenzae type b",2009,"Nelson Marlborough",0,0
"Listeriosis",2009,"Canterbury",2,0.4
"Giardiasis",2009,"Canterbury",188,38.4
"Arboviral diseases",2009,"Canterbury",8,1.6
"Mumps",2009,"Canterbury",14,2.9
"Mpox",2009,"Canterbury",0,0
"Measles",2009,"Canterbury",168,34.3
"Meningococcal disease",2009,"Canterbury",12,2.5
"Campylobacteriosis",2009,"Canterbury",545,111.4
"Cryptosporidiosis",2009,"Canterbury",97,19.8
"Hepatitis B",2009,"Canterbury",5,1
"Paratyphoid fever",2009,"Canterbury",3,0.6
"Tetanus",2009,"Canterbury",0,0
"Brucellosis",2009,"Canterbury",0,0
"Rubella",2009,"Canterbury",1,0.2
"Hepatitis NOS",2009,"Canterbury",0,0
"Cholera",2009,"Canterbury",0,0
"Trichinosis",2009,"Canterbury",0,0
"Shigellosis",2009,"Canterbury",10,2
"Salmonellosis",2009,"Canterbury",149,30.5
"Hepatitis C",2009,"Canterbury",8,1.6
"Typhoid fever",2009,"Canterbury",2,0.4
"Acute gastroenteritis",2009,"Canterbury",52,10.6
"VTEC/STEC infection",2009,"Canterbury",16,3.3
"Rickettsial disease",2009,"Canterbury",0,0
"Leptospirosis",2009,"Canterbury",6,1.2
"Rabies and other lyssaviruses",2009,"Canterbury",0,0
"Taeniasis",2009,"Canterbury",0,0
"Cysticercosis",2009,"Canterbury",0,0
"Malaria",2009,"Canterbury",3,0.6
"Legionellosis",2009,"Canterbury",14,2.9
"Diphtheria",2009,"Canterbury",0,0
"Toxic shellfish poisoning",2009,"Canterbury",0,0
"Hepatitis A",2009,"Canterbury",6,1.2
"Haemophilus influenzae type b",2009,"Canterbury",0,0
"Pertussis",2009,"Canterbury",317,64.8
"Leprosy",2009,"Canterbury",0,0
"Rheumatic fever",2009,"Canterbury",1,0.2
"Yersiniosis",2009,"Canterbury",66,13.5
"Invasive pneumococcal disease",2009,"Canterbury",54,11
"Tuberculosis disease",2009,"Canterbury",22,4.5
"Poliomyelitis",2009,"Canterbury",0,0
"Hydatid disease",2009,"Canterbury",0,0
"Q fever",2009,"Canterbury",0,0
"Meningoencephalitis - primary amoebic",2009,"Canterbury",0,0
"Campylobacteriosis",2009,"Southern",418,143.7
"Tetanus",2009,"Southern",0,0
"Giardiasis",2009,"Southern",96,33
"Mpox",2009,"Southern",0,0
"Meningococcal disease",2009,"Southern",9,3.1
"Cryptosporidiosis",2009,"Southern",51,17.5
"Paratyphoid fever",2009,"Southern",0,0
"Malaria",2009,"Southern",0,0
"Haemophilus influenzae type b",2009,"Southern",0,0
"Brucellosis",2009,"Southern",0,0
"Trichinosis",2009,"Southern",0,0
"Rubella",2009,"Southern",0,0
"Arboviral diseases",2009,"Southern",3,1
"Shigellosis",2009,"Southern",7,2.4
"Mumps",2009,"Southern",0,0
"Salmonellosis",2009,"Southern",132,45.4
"Hepatitis C",2009,"Southern",2,0.7
"Measles",2009,"Southern",37,12.7
"Acute gastroenteritis",2009,"Southern",12,4.1
"Hepatitis B",2009,"Southern",1,0.3
"Leprosy",2009,"Southern",0,0
"VTEC/STEC infection",2009,"Southern",6,2.1
"Cholera",2009,"Southern",0,0
"Rabies and other lyssaviruses",2009,"Southern",0,0
"Yersiniosis",2009,"Southern",23,7.9
"Typhoid fever",2009,"Southern",0,0
"Hepatitis NOS",2009,"Southern",0,0
"Taeniasis",2009,"Southern",0,0
"Toxic shellfish poisoning",2009,"Southern",0,0
"Poliomyelitis",2009,"Southern",0,0
"Listeriosis",2009,"Southern",3,1
"Leptospirosis",2009,"Southern",4,1.4
"Hepatitis A",2009,"Southern",1,0.3
"Meningoencephalitis - primary amoebic",2009,"Southern",0,0
"Pertussis",2009,"Southern",47,16.2
"Invasive pneumococcal disease",2009,"Southern",52,17.9
"Cysticercosis",2009,"Southern",0,0
"Legionellosis",2009,"Southern",4,1.4
"Tuberculosis disease",2009,"Southern",3,1
"Hydatid disease",2009,"Southern",1,0.3
"Rheumatic fever",2009,"Southern",0,0
"Rickettsial disease",2009,"Southern",0,0
"Diphtheria",2009,"Southern",0,0
"Q fever",2009,"Southern",0,0
"Salmonellosis",2009,"South Canterbury",34,62.3
"Tetanus",2009,"South Canterbury",0,0
"Campylobacteriosis",2009,"South Canterbury",103,188.7
"Acute gastroenteritis",2009,"South Canterbury",3,5.5
"Mpox",2009,"South Canterbury",0,0
"Cryptosporidiosis",2009,"South Canterbury",28,51.3
"Cholera",2009,"South Canterbury",0,0
"Trichinosis",2009,"South Canterbury",0,0
"Brucellosis",2009,"South Canterbury",0,0
"Hepatitis NOS",2009,"South Canterbury",0,0
"Typhoid fever",2009,"South Canterbury",0,0
"Mumps",2009,"South Canterbury",3,5.5
"Arboviral diseases",2009,"South Canterbury",0,0
"Paratyphoid fever",2009,"South Canterbury",0,0
"Measles",2009,"South Canterbury",1,1.8
"Giardiasis",2009,"South Canterbury",10,18.3
"Hepatitis B",2009,"South Canterbury",0,0
"Meningococcal disease",2009,"South Canterbury",0,0
"VTEC/STEC infection",2009,"South Canterbury",2,3.7
"Leptospirosis",2009,"South Canterbury",2,3.7
"Cysticercosis",2009,"South Canterbury",0,0
"Tuberculosis disease",2009,"South Canterbury",2,3.7
"Rubella",2009,"South Canterbury",0,0
"Malaria",2009,"South Canterbury",0,0
"Toxic shellfish poisoning",2009,"South Canterbury",0,0
"Shigellosis",2009,"South Canterbury",1,1.8
"Invasive pneumococcal disease",2009,"South Canterbury",6,11
"Listeriosis",2009,"South Canterbury",0,0
"Taeniasis",2009,"South Canterbury",1,1.8
"Hepatitis A",2009,"South Canterbury",0,0
"Hydatid disease",2009,"South Canterbury",0,0
"Pertussis",2009,"South Canterbury",27,49.5
"Haemophilus influenzae type b",2009,"South Canterbury",0,0
"Diphtheria",2009,"South Canterbury",0,0
"Rabies and other lyssaviruses",2009,"South Canterbury",0,0
"Hepatitis C",2009,"South Canterbury",1,1.8
"Yersiniosis",2009,"South Canterbury",10,18.3
"Legionellosis",2009,"South Canterbury",1,1.8
"Meningoencephalitis - primary amoebic",2009,"South Canterbury",0,0
"Rheumatic fever",2009,"South Canterbury",0,0
"Rickettsial disease",2009,"South Canterbury",0,0
"Q fever",2009,"South Canterbury",0,0
"Leprosy",2009,"South Canterbury",0,0
"Poliomyelitis",2009,"South Canterbury",0,0
"Campylobacteriosis",2009,"Northland",208,143.2
"Hepatitis C",2009,"Northland",1,0.7
"Arboviral diseases",2009,"Northland",4,2.8
"Measles",2009,"Northland",4,2.8
"Cholera",2009,"Northland",0,0
"Tetanus",2009,"Northland",0,0
"Trichinosis",2009,"Northland",0,0
"Typhoid fever",2009,"Northland",0,0
"Acute gastroenteritis",2009,"Northland",2,1.4
"Listeriosis",2009,"Northland",0,0
"Mumps",2009,"Northland",3,2.1
"Paratyphoid fever",2009,"Northland",0,0
"Hepatitis B",2009,"Northland",3,2.1
"Invasive pneumococcal disease",2009,"Northland",31,21.3
"Rheumatic fever",2009,"Northland",16,11
"Cryptosporidiosis",2009,"Northland",37,25.5
"Diphtheria",2009,"Northland",0,0
"Tuberculosis disease",2009,"Northland",8,5.5
"Mpox",2009,"Northland",0,0
"Brucellosis",2009,"Northland",0,0
"Meningococcal disease",2009,"Northland",6,4.1
"Shigellosis",2009,"Northland",3,2.1
"Salmonellosis",2009,"Northland",32,22
"Malaria",2009,"Northland",0,0
"Toxic shellfish poisoning",2009,"Northland",0,0
"Giardiasis",2009,"Northland",64,44.1
"Pertussis",2009,"Northland",20,13.8
"Cysticercosis",2009,"Northland",0,0
"Hydatid disease",2009,"Northland",0,0
"Q fever",2009,"Northland",0,0
"Taeniasis",2009,"Northland",0,0
"Hepatitis NOS",2009,"Northland",0,0
"Yersiniosis",2009,"Northland",11,7.6
"Hepatitis A",2009,"Northland",1,0.7
"Rabies and other lyssaviruses",2009,"Northland",0,0
"Poliomyelitis",2009,"Northland",0,0
"VTEC/STEC infection",2009,"Northland",6,4.1
"Leprosy",2009,"Northland",0,0
"Rickettsial disease",2009,"Northland",1,0.7
"Legionellosis",2009,"Northland",2,1.4
"Rubella",2009,"Northland",0,0
"Haemophilus influenzae type b",2009,"Northland",1,0.7
"Meningoencephalitis - primary amoebic",2009,"Northland",0,0
"Leptospirosis",2009,"Northland",7,4.8
"Measles",2009,"Counties Manukau",3,0.7
"Salmonellosis",2009,"Counties Manukau",99,21.7
"Pertussis",2009,"Counties Manukau",73,16
"Campylobacteriosis",2009,"Counties Manukau",685,149.9
"Acute gastroenteritis",2009,"Counties Manukau",44,9.6
"Cryptosporidiosis",2009,"Counties Manukau",51,11.2
"Arboviral diseases",2009,"Counties Manukau",38,8.3
"Trichinosis",2009,"Counties Manukau",0,0
"Giardiasis",2009,"Counties Manukau",202,44.2
"Mpox",2009,"Counties Manukau",0,0
"Tetanus",2009,"Counties Manukau",0,0
"Rheumatic fever",2009,"Counties Manukau",41,9
"Diphtheria",2009,"Counties Manukau",0,0
"Invasive pneumococcal disease",2009,"Counties Manukau",90,19.7
"VTEC/STEC infection",2009,"Counties Manukau",9,2
"Yersiniosis",2009,"Counties Manukau",34,7.4
"Typhoid fever",2009,"Counties Manukau",13,2.8
"Hepatitis B",2009,"Counties Manukau",8,1.8
"Shigellosis",2009,"Counties Manukau",26,5.7
"Malaria",2009,"Counties Manukau",19,4.2
"Mumps",2009,"Counties Manukau",3,0.7
"Hepatitis A",2009,"Counties Manukau",6,1.3
"Hepatitis C",2009,"Counties Manukau",2,0.4
"Listeriosis",2009,"Counties Manukau",2,0.4
"Meningoencephalitis - primary amoebic",2009,"Counties Manukau",0,0
"Hydatid disease",2009,"Counties Manukau",1,0.2
"Cholera",2009,"Counties Manukau",0,0
"Rubella",2009,"Counties Manukau",0,0
"Cysticercosis",2009,"Counties Manukau",0,0
"Brucellosis",2009,"Counties Manukau",0,0
"Meningococcal disease",2009,"Counties Manukau",19,4.2
"Rickettsial disease",2009,"Counties Manukau",0,0
"Hepatitis NOS",2009,"Counties Manukau",1,0.2
"Paratyphoid fever",2009,"Counties Manukau",2,0.4
"Toxic shellfish poisoning",2009,"Counties Manukau",0,0
"Taeniasis",2009,"Counties Manukau",0,0
"Poliomyelitis",2009,"Counties Manukau",0,0
"Q fever",2009,"Counties Manukau",0,0
"Leprosy",2009,"Counties Manukau",2,0.4
"Tuberculosis disease",2009,"Counties Manukau",66,14.4
"Rabies and other lyssaviruses",2009,"Counties Manukau",0,0
"Leptospirosis",2009,"Counties Manukau",1,0.2
"Haemophilus influenzae type b",2009,"Counties Manukau",1,0.2
"Legionellosis",2009,"Counties Manukau",6,1.3
"Cholera",2009,"Waikato",0,0
"Hepatitis B",2009,"Waikato",1,0.3
"Malaria",2009,"Waikato",3,0.9
"Salmonellosis",2009,"Waikato",104,30.1
"Cryptosporidiosis",2009,"Waikato",109,31.6
"Typhoid fever",2009,"Waikato",1,0.3
"Invasive pneumococcal disease",2009,"Waikato",82,23.7
"Measles",2009,"Waikato",1,0.3
"Leprosy",2009,"Waikato",0,0
"Giardiasis",2009,"Waikato",148,42.8
"VTEC/STEC infection",2009,"Waikato",27,7.8
"Brucellosis",2009,"Waikato",0,0
"Trichinosis",2009,"Waikato",0,0
"Pertussis",2009,"Waikato",233,67.5
"Yersiniosis",2009,"Waikato",28,8.1
"Mpox",2009,"Waikato",0,0
"Shigellosis",2009,"Waikato",7,2
"Tetanus",2009,"Waikato",1,0.3
"Paratyphoid fever",2009,"Waikato",2,0.6
"Rheumatic fever",2009,"Waikato",22,6.4
"Hepatitis A",2009,"Waikato",3,0.9
"Meningoencephalitis - primary amoebic",2009,"Waikato",0,0
"Acute gastroenteritis",2009,"Waikato",24,6.9
"Hydatid disease",2009,"Waikato",0,0
"Taeniasis",2009,"Waikato",0,0
"Campylobacteriosis",2009,"Waikato",660,191.1
"Meningococcal disease",2009,"Waikato",9,2.6
"Rabies and other lyssaviruses",2009,"Waikato",0,0
"Hepatitis NOS",2009,"Waikato",0,0
"Arboviral diseases",2009,"Waikato",6,1.7
"Toxic shellfish poisoning",2009,"Waikato",0,0
"Mumps",2009,"Waikato",7,2
"Hepatitis C",2009,"Waikato",0,0
"Rubella",2009,"Waikato",0,0
"Rickettsial disease",2009,"Waikato",2,0.6
"Listeriosis",2009,"Waikato",4,1.2
"Leptospirosis",2009,"Waikato",16,4.6
"Q fever",2009,"Waikato",0,0
"Haemophilus influenzae type b",2009,"Waikato",2,0.6
"Tuberculosis disease",2009,"Waikato",14,4.1
"Poliomyelitis",2009,"Waikato",0,0
"Legionellosis",2009,"Waikato",1,0.3
"Diphtheria",2009,"Waikato",0,0
"Cysticercosis",2009,"Waikato",0,0
"Mpox",2009,"Lakes",0,0
"Paratyphoid fever",2009,"Lakes",3,3
"Salmonellosis",2009,"Lakes",27,27.4
"Shigellosis",2009,"Lakes",0,0
"Measles",2009,"Lakes",0,0
"Cryptosporidiosis",2009,"Lakes",13,13.2
"Pertussis",2009,"Lakes",31,31.5
"Hepatitis A",2009,"Lakes",1,1
"Rheumatic fever",2009,"Lakes",3,3
"Giardiasis",2009,"Lakes",65,66
"Cysticercosis",2009,"Lakes",0,0
"Yersiniosis",2009,"Lakes",10,10.2
"Arboviral diseases",2009,"Lakes",2,2
"Brucellosis",2009,"Lakes",0,0
"Mumps",2009,"Lakes",1,1
"Tetanus",2009,"Lakes",0,0
"Hepatitis C",2009,"Lakes",0,0
"Meningoencephalitis - primary amoebic",2009,"Lakes",0,0
"Listeriosis",2009,"Lakes",0,0
"Acute gastroenteritis",2009,"Lakes",12,12.2
"Hydatid disease",2009,"Lakes",0,0
"Campylobacteriosis",2009,"Lakes",205,208.1
"Hepatitis B",2009,"Lakes",1,1
"Taeniasis",2009,"Lakes",0,0
"Tuberculosis disease",2009,"Lakes",6,6.1
"Typhoid fever",2009,"Lakes",0,0
"Hepatitis NOS",2009,"Lakes",0,0
"Malaria",2009,"Lakes",0,0
"Legionellosis",2009,"Lakes",1,1
"Rabies and other lyssaviruses",2009,"Lakes",0,0
"Toxic shellfish poisoning",2009,"Lakes",0,0
"Rickettsial disease",2009,"Lakes",0,0
"Leprosy",2009,"Lakes",0,0
"Invasive pneumococcal disease",2009,"Lakes",29,29.4
"Trichinosis",2009,"Lakes",0,0
"Cholera",2009,"Lakes",0,0
"VTEC/STEC infection",2009,"Lakes",5,5.1
"Leptospirosis",2009,"Lakes",2,2
"Meningococcal disease",2009,"Lakes",5,5.1
"Rubella",2009,"Lakes",0,0
"Q fever",2009,"Lakes",0,0
"Poliomyelitis",2009,"Lakes",0,0
"Diphtheria",2009,"Lakes",0,0
"Haemophilus influenzae type b",2009,"Lakes",0,0
"Cryptosporidiosis",2009,"Tairawhiti",10,22.9
"Paratyphoid fever",2009,"Tairawhiti",0,0
"Hepatitis B",2009,"Tairawhiti",1,2.3
"Acute gastroenteritis",2009,"Tairawhiti",0,0
"Rheumatic fever",2009,"Tairawhiti",10,22.9
"Mumps",2009,"Tairawhiti",0,0
"Cysticercosis",2009,"Tairawhiti",0,0
"Pertussis",2009,"Tairawhiti",13,29.8
"Arboviral diseases",2009,"Tairawhiti",2,4.6
"Campylobacteriosis",2009,"Tairawhiti",36,82.5
"Mpox",2009,"Tairawhiti",0,0
"Rubella",2009,"Tairawhiti",0,0
"Salmonellosis",2009,"Tairawhiti",32,73.4
"Toxic shellfish poisoning",2009,"Tairawhiti",0,0
"Malaria",2009,"Tairawhiti",0,0
"Giardiasis",2009,"Tairawhiti",11,25.2
"Hepatitis C",2009,"Tairawhiti",0,0
"Hydatid disease",2009,"Tairawhiti",0,0
"Cholera",2009,"Tairawhiti",0,0
"Diphtheria",2009,"Tairawhiti",0,0
"VTEC/STEC infection",2009,"Tairawhiti",4,9.2
"Haemophilus influenzae type b",2009,"Tairawhiti",0,0
"Meningococcal disease",2009,"Tairawhiti",7,16.1
"Shigellosis",2009,"Tairawhiti",1,2.3
"Trichinosis",2009,"Tairawhiti",0,0
"Rabies and other lyssaviruses",2009,"Tairawhiti",0,0
"Hepatitis NOS",2009,"Tairawhiti",0,0
"Hepatitis A",2009,"Tairawhiti",0,0
"Tetanus",2009,"Tairawhiti",0,0
"Leprosy",2009,"Tairawhiti",0,0
"Invasive pneumococcal disease",2009,"Tairawhiti",9,20.6
"Measles",2009,"Tairawhiti",0,0
"Listeriosis",2009,"Tairawhiti",2,4.6
"Q fever",2009,"Tairawhiti",0,0
"Brucellosis",2009,"Tairawhiti",0,0
