"Disease","Report Year","Ethnic Group","Case Count","Case rate per 100,000"
"Salmonellosis",2008,"MELAA",12,35.9
"Listeriosis",2008,"MELAA",0,0
"Diphtheria",2008,"MELAA",0,0
"Yersiniosis",2008,"MELAA",4,12
"Measles",2008,"MELAA",0,0
"Q fever",2008,"MELAA",0,0
"Giardiasis",2008,"MELAA",22,65.8
"Acute gastroenteritis",2008,"European or Others",461,15.7
"Malaria",2008,"European or Others",11,0.4
"VTEC/STEC infection",2008,"European or Others",99,3.4
"Tetanus",2008,"European or Others",0,0
"Cholera",2008,"European or Others",0,0
"Haemophilus influenzae type b",2008,"European or Others",2,0.1
"Hepatitis NOS",2008,"European or Others",0,0
"Arboviral diseases",2008,"European or Others",43,1.5
"Giardiasis",2008,"European or Others",1243,42.3
"Mumps",2008,"European or Others",34,1.2
"Shigellosis",2008,"European or Others",67,2.3
"Typhoid fever",2008,"European or Others",0,0
"Tuberculosis disease",2008,"European or Others",32,1.1
"Rickettsial disease",2008,"European or Others",9,0.3
"Taeniasis",2008,"European or Others",2,0.1
"Invasive pneumococcal disease",2008,"European or Others",68,2.3
"Q fever",2008,"European or Others",0,0
"Cryptosporidiosis",2008,"European or Others",648,22
"Brucellosis",2008,"European or Others",0,0
"Hepatitis B",2008,"European or Others",19,0.6
"Hepatitis C",2008,"European or Others",15,0.5
"Hepatitis A",2008,"European or Others",34,1.2
"Cysticercosis",2008,"European or Others",0,0
"Diphtheria",2008,"European or Others",0,0
"Rubella",2008,"European or Others",7,0.2
"Meningoencephalitis - primary amoebic",2008,"European or Others",0,0
"Meningococcal disease",2008,"European or Others",53,1.8
"Poliomyelitis",2008,"European or Others",0,0
"Rheumatic fever",2008,"European or Others",12,0.4
"Rabies and other lyssaviruses",2008,"European or Others",0,0
"Trichinosis",2008,"European or Others",0,0
"Pertussis",2008,"European or Others",327,11.1
"Campylobacteriosis",2008,"European or Others",4815,163.7
"Leptospirosis",2008,"European or Others",83,2.8
"Listeriosis",2008,"European or Others",20,0.7
"Mpox",2008,"European or Others",0,0
"Salmonellosis",2008,"European or Others",972,33.1
"Toxic shellfish poisoning",2008,"European or Others",1,0
"Paratyphoid fever",2008,"European or Others",7,0.2
"Measles",2008,"European or Others",10,0.3
"Legionellosis",2008,"European or Others",65,2.2
"Yersiniosis",2008,"European or Others",325,11.1
"Hydatid disease",2008,"European or Others",4,0.1
"Leprosy",2008,"European or Others",1,0
"Arboviral diseases",2009,"Māori",3,0.6
"Acute gastroenteritis",2009,"Māori",40,7.5
"Haemophilus influenzae type b",2009,"Māori",5,0.9
"Cholera",2009,"Māori",0,0
"Rabies and other lyssaviruses",2009,"Māori",0,0
"Cryptosporidiosis",2009,"Māori",65,12.2
"VTEC/STEC infection",2009,"Māori",20,3.8
"Diphtheria",2009,"Māori",0,0
"Hepatitis NOS",2009,"Māori",0,0
"Mpox",2009,"Māori",0,0
"Trichinosis",2009,"Māori",0,0
"Leprosy",2009,"Māori",0,0
"Rheumatic fever",2009,"Māori",82,15.5
"Q fever",2009,"Māori",0,0
"Cysticercosis",2009,"Māori",0,0
"Tetanus",2009,"Māori",0,0
"Brucellosis",2009,"Māori",0,0
"Hepatitis B",2009,"Māori",9,1.7
"Poliomyelitis",2009,"Māori",0,0
"Giardiasis",2009,"Māori",94,17.7
"Legionellosis",2009,"Māori",2,0.4
"Mumps",2009,"Māori",10,1.9
"Taeniasis",2009,"Māori",0,0
"Pertussis",2009,"Māori",172,32.4
"Meningoencephalitis - primary amoebic",2009,"Māori",0,0
"Toxic shellfish poisoning",2009,"Māori",1,0.2
"Measles",2009,"Māori",21,4
"Invasive pneumococcal disease",2009,"Māori",178,33.5
"Hepatitis A",2009,"Māori",6,1.1
"Paratyphoid fever",2009,"Māori",0,0
"Campylobacteriosis",2009,"Māori",463,87.2
"Hepatitis C",2009,"Māori",4,0.8
"Hydatid disease",2009,"Māori",0,0
"Rickettsial disease",2009,"Māori",1,0.2
"Leptospirosis",2009,"Māori",9,1.7
"Rubella",2009,"Māori",0,0
"Shigellosis",2009,"Māori",5,0.9
"Malaria",2009,"Māori",1,0.2
"Tuberculosis disease",2009,"Māori",52,9.8
"Meningococcal disease",2009,"Māori",49,9.2
"Yersiniosis",2009,"Māori",36,6.8
"Salmonellosis",2009,"Māori",125,23.6
"Typhoid fever",2009,"Māori",0,0
"Listeriosis",2009,"Māori",5,0.9
"Poliomyelitis",2009,"Pacific",0,0
"Taeniasis",2009,"Pacific",0,0
"Tetanus",2009,"Pacific",0,0
"Arboviral diseases",2009,"Pacific",49,19.1
"Tuberculosis disease",2009,"Pacific",32,12.5
"VTEC/STEC infection",2009,"Pacific",3,1.2
"Rabies and other lyssaviruses",2009,"Pacific",0,0
"Acute gastroenteritis",2009,"Pacific",10,3.9
"Trichinosis",2009,"Pacific",0,0
"Cholera",2009,"Pacific",0,0
"Hepatitis NOS",2009,"Pacific",0,0
"Q fever",2009,"Pacific",0,0
"Rickettsial disease",2009,"Pacific",0,0
"Leprosy",2009,"Pacific",1,0.4
"Toxic shellfish poisoning",2009,"Pacific",0,0
"Haemophilus influenzae type b",2009,"Pacific",1,0.4
"Invasive pneumococcal disease",2009,"Pacific",89,34.7
"Mpox",2009,"Pacific",0,0
"Cryptosporidiosis",2009,"Pacific",18,7
"Mumps",2009,"Pacific",1,0.4
"Hepatitis B",2009,"Pacific",11,4.3
"Typhoid fever",2009,"Pacific",18,7
"Meningoencephalitis - primary amoebic",2009,"Pacific",0,0
"Measles",2009,"Pacific",7,2.7
"Rheumatic fever",2009,"Pacific",54,21.1
"Malaria",2009,"Pacific",6,2.3
"Hepatitis C",2009,"Pacific",2,0.8
"Paratyphoid fever",2009,"Pacific",0,0
"Campylobacteriosis",2009,"Pacific",172,67.1
"Brucellosis",2009,"Pacific",0,0
"Rubella",2009,"Pacific",0,0
"Pertussis",2009,"Pacific",61,23.8
"Salmonellosis",2009,"Pacific",37,14.4
"Cysticercosis",2009,"Pacific",0,0
"Shigellosis",2009,"Pacific",28,10.9
"Listeriosis",2009,"Pacific",3,1.2
"Meningococcal disease",2009,"Pacific",17,6.6
"Yersiniosis",2009,"Pacific",12,4.7
"Diphtheria",2009,"Pacific",1,0.4
"Giardiasis",2009,"Pacific",12,4.7
"Hepatitis A",2009,"Pacific",1,0.4
"Hydatid disease",2009,"Pacific",0,0
"Leptospirosis",2009,"Pacific",0,0
"Legionellosis",2009,"Pacific",2,0.8
"Invasive pneumococcal disease",2009,"Asian",24,6.8
"Poliomyelitis",2009,"Asian",0,0
"Rabies and other lyssaviruses",2009,"Asian",0,0
"Rheumatic fever",2009,"Asian",0,0
"Cryptosporidiosis",2009,"Asian",23,6.5
"Toxic shellfish poisoning",2009,"Asian",0,0
"Cholera",2009,"Asian",0,0
"Pertussis",2009,"Asian",39,11.1
"Haemophilus influenzae type b",2009,"Asian",1,0.3
"VTEC/STEC infection",2009,"Asian",2,0.6
"Arboviral diseases",2009,"Asian",16,4.5
"Meningoencephalitis - primary amoebic",2009,"Asian",0,0
"Q fever",2009,"Asian",0,0
"Yersiniosis",2009,"Asian",98,27.8
"Acute gastroenteritis",2009,"Asian",36,10.2
"Trichinosis",2009,"Asian",0,0
"Leprosy",2009,"Asian",2,0.6
"Malaria",2009,"Asian",17,4.8
"Tuberculosis disease",2009,"Asian",157,44.6
"Meningococcal disease",2009,"Asian",4,1.1
"Brucellosis",2009,"Asian",0,0
"Measles",2009,"Asian",8,2.3
"Hepatitis B",2009,"Asian",5,1.4
"Hepatitis NOS",2009,"Asian",1,0.3
"Rickettsial disease",2009,"Asian",0,0
"Mumps",2009,"Asian",5,1.4
"Diphtheria",2009,"Asian",0,0
"Shigellosis",2009,"Asian",19,5.4
"Tetanus",2009,"Asian",0,0
"Typhoid fever",2009,"Asian",13,3.7
"Cysticercosis",2009,"Asian",0,0
"Legionellosis",2009,"Asian",1,0.3
"Hydatid disease",2009,"Asian",0,0
"Mpox",2009,"Asian",0,0
"Taeniasis",2009,"Asian",0,0
"Giardiasis",2009,"Asian",76,21.6
"Campylobacteriosis",2009,"Asian",398,113.1
"Hepatitis A",2009,"Asian",15,4.3
"Hepatitis C",2009,"Asian",2,0.6
"Leptospirosis",2009,"Asian",0,0
"Rubella",2009,"Asian",1,0.3
"Salmonellosis",2009,"Asian",77,21.9
"Paratyphoid fever",2009,"Asian",11,3.1
"Listeriosis",2009,"Asian",1,0.3
"Q fever",2009,"MELAA",0,0
"Leprosy",2009,"MELAA",0,0
"Invasive pneumococcal disease",2009,"MELAA",1,3
"Arboviral diseases",2009,"MELAA",3,8.9
"Toxic shellfish poisoning",2009,"MELAA",0,0
"Trichinosis",2009,"MELAA",0,0
"Rheumatic fever",2009,"MELAA",0,0
"VTEC/STEC infection",2009,"MELAA",1,3
"Measles",2009,"MELAA",0,0
"Hydatid disease",2009,"MELAA",0,0
"Mpox",2009,"MELAA",0,0
"Taeniasis",2009,"MELAA",1,3
"Tetanus",2009,"MELAA",0,0
"Haemophilus influenzae type b",2009,"MELAA",0,0
"Tuberculosis disease",2009,"MELAA",11,32.6
"Cysticercosis",2009,"MELAA",0,0
"Pertussis",2009,"MELAA",7,20.7
"Poliomyelitis",2009,"MELAA",0,0
"Leptospirosis",2009,"MELAA",0,0
"Meningoencephalitis - primary amoebic",2009,"MELAA",0,0
"Hepatitis C",2009,"MELAA",0,0
"Rabies and other lyssaviruses",2009,"MELAA",0,0
"Mumps",2009,"MELAA",0,0
"Cryptosporidiosis",2009,"MELAA",3,8.9
"Paratyphoid fever",2009,"MELAA",0,0
"Hepatitis A",2009,"MELAA",2,5.9
"Rickettsial disease",2009,"MELAA",0,0
"Malaria",2009,"MELAA",10,29.6
"Yersiniosis",2009,"MELAA",2,5.9
"Meningococcal disease",2009,"MELAA",2,5.9
"Hepatitis NOS",2009,"MELAA",0,0
"Acute gastroenteritis",2009,"MELAA",5,14.8
"Listeriosis",2009,"MELAA",3,8.9
"Cholera",2009,"MELAA",0,0
"Rubella",2009,"MELAA",0,0
"Typhoid fever",2009,"MELAA",1,3
"Diphtheria",2009,"MELAA",0,0
"Salmonellosis",2009,"MELAA",8,23.7
"Hepatitis B",2009,"MELAA",2,5.9
"Campylobacteriosis",2009,"MELAA",31,91.8
"Brucellosis",2009,"MELAA",0,0
"Legionellosis",2009,"MELAA",2,5.9
"Giardiasis",2009,"MELAA",54,160
"Shigellosis",2009,"MELAA",1,3
"Invasive pneumococcal disease",2009,"European or Others",378,12.7
"Leprosy",2009,"European or Others",0,0
"Mpox",2009,"European or Others",0,0
"Pertussis",2009,"European or Others",1087,36.5
"Arboviral diseases",2009,"European or Others",67,2.3
"Toxic shellfish poisoning",2009,"European or Others",0,0
"Taeniasis",2009,"European or Others",2,0.1
"Rheumatic fever",2009,"European or Others",4,0.1
"VTEC/STEC infection",2009,"European or Others",110,3.7
"Rabies and other lyssaviruses",2009,"European or Others",0,0
"Meningoencephalitis - primary amoebic",2009,"European or Others",0,0
"Yersiniosis",2009,"European or Others",248,8.3
"Hepatitis NOS",2009,"European or Others",1,0
"Tuberculosis disease",2009,"European or Others",42,1.4
"Measles",2009,"European or Others",209,7
"Tetanus",2009,"European or Others",1,0
"Q fever",2009,"European or Others",0,0
"Haemophilus influenzae type b",2009,"European or Others",3,0.1
"Cholera",2009,"European or Others",0,0
"Malaria",2009,"European or Others",10,0.3
"Cysticercosis",2009,"European or Others",0,0
"Rubella",2009,"European or Others",3,0.1
"Meningococcal disease",2009,"European or Others",58,2
"Poliomyelitis",2009,"European or Others",0,0
"Hydatid disease",2009,"European or Others",2,0.1
"Cryptosporidiosis",2009,"European or Others",707,23.8
"Brucellosis",2009,"European or Others",0,0
"Hepatitis B",2009,"European or Others",25,0.8
"Listeriosis",2009,"European or Others",16,0.5
"Salmonellosis",2009,"European or Others",814,27.4
"Mumps",2009,"European or Others",44,1.5
"Diphtheria",2009,"European or Others",0,0
"Rickettsial disease",2009,"European or Others",4,0.1
"Paratyphoid fever",2009,"European or Others",13,0.4
"Trichinosis",2009,"European or Others",0,0
"Shigellosis",2009,"European or Others",56,1.9
"Campylobacteriosis",2009,"European or Others",5401,181.6
"Acute gastroenteritis",2009,"European or Others",505,17
"Hepatitis A",2009,"European or Others",18,0.6
"Hepatitis C",2009,"European or Others",23,0.8
"Legionellosis",2009,"European or Others",67,2.3
"Typhoid fever",2009,"European or Others",2,0.1
"Leptospirosis",2009,"European or Others",59,2
"Giardiasis",2009,"European or Others",1269,42.7
"Taeniasis",2010,"Māori",0,0
"Q fever",2010,"Māori",0,0
"Invasive pneumococcal disease",2010,"Māori",128,23.9
"Leprosy",2010,"Māori",0,0
"Rheumatic fever",2010,"Māori",103,19.2
"Measles",2010,"Māori",7,1.3
"VTEC/STEC infection",2010,"Māori",10,1.9
"Meningoencephalitis - primary amoebic",2010,"Māori",0,0
"Rabies and other lyssaviruses",2010,"Māori",0,0
"Yersiniosis",2010,"Māori",28,5.2
"Poliomyelitis",2010,"Māori",0,0
"Trichinosis",2010,"Māori",0,0
"Toxic shellfish poisoning",2010,"Māori",3,0.6
"Haemophilus influenzae type b",2010,"Māori",4,0.7
"Pertussis",2010,"Māori",119,22.2
"Meningococcal disease",2010,"Māori",42,7.8
"Hydatid disease",2010,"Māori",1,0.2
"Mumps",2010,"Māori",5,0.9
"Cryptosporidiosis",2010,"Māori",70,13.1
"Rubella",2010,"Māori",0,0
"Tetanus",2010,"Māori",0,0
"Rickettsial disease",2010,"Māori",0,0
"Arboviral diseases",2010,"Māori",0,0
"Malaria",2010,"Māori",0,0
"Tuberculosis disease",2010,"Māori",35,6.5
"Mpox",2010,"Māori",0,0
"Shigellosis",2010,"Māori",17,3.2
"Salmonellosis",2010,"Māori",112,20.9
"Hepatitis NOS",2010,"Māori",0,0
"Hepatitis A",2010,"Māori",4,0.7
"Typhoid fever",2010,"Māori",0,0
"Cholera",2010,"Māori",0,0
"Cysticercosis",2010,"Māori",0,0
"Diphtheria",2010,"Māori",0,0
"Hepatitis C",2010,"Māori",4,0.7
"Giardiasis",2010,"Māori",115,21.5
"Legionellosis",2010,"Māori",9,1.7
"Hepatitis B",2010,"Māori",9,1.7
"Paratyphoid fever",2010,"Māori",1,0.2
"Acute gastroenteritis",2010,"Māori",31,5.8
"Leptospirosis",2010,"Māori",10,1.9
"Listeriosis",2010,"Māori",1,0.2
"Brucellosis",2010,"Māori",0,0
"Campylobacteriosis",2010,"Māori",474,88.6
"Invasive pneumococcal disease",2010,"Pacific",87,33.5
"Measles",2010,"Pacific",0,0
"Toxic shellfish poisoning",2010,"Pacific",0,0
"Trichinosis",2010,"Pacific",0,0
"Meningoencephalitis - primary amoebic",2010,"Pacific",0,0
"Leprosy",2010,"Pacific",1,0.4
"Rheumatic fever",2010,"Pacific",58,22.4
"Pertussis",2010,"Pacific",59,22.7
"VTEC/STEC infection",2010,"Pacific",4,1.5
"Poliomyelitis",2010,"Pacific",0,0
"Q fever",2010,"Pacific",0,0
"Taeniasis",2010,"Pacific",0,0
"Tetanus",2010,"Pacific",0,0
"Hydatid disease",2010,"Pacific",1,0.4
"Yersiniosis",2010,"Pacific",19,7.3
"Tuberculosis disease",2010,"Pacific",45,17.3
"Meningococcal disease",2010,"Pacific",17,6.6
"Mpox",2010,"Pacific",0,0
"Haemophilus influenzae type b",2010,"Pacific",1,0.4
"Malaria",2010,"Pacific",7,2.7
"Rubella",2010,"Pacific",0,0
"Hepatitis A",2010,"Pacific",11,4.2
"Typhoid fever",2010,"Pacific",12,4.6
"Arboviral diseases",2010,"Pacific",2,0.8
"Listeriosis",2010,"Pacific",5,1.9
"Diphtheria",2010,"Pacific",0,0
"Hepatitis NOS",2010,"Pacific",1,0.4
"Rickettsial disease",2010,"Pacific",0,0
"Rabies and other lyssaviruses",2010,"Pacific",0,0
"Cysticercosis",2010,"Pacific",0,0
"Shigellosis",2010,"Pacific",15,5.8
"Hepatitis C",2010,"Pacific",1,0.4
"Mumps",2010,"Pacific",4,1.5
"Cryptosporidiosis",2010,"Pacific",12,4.6
"Cholera",2010,"Pacific",0,0
"Paratyphoid fever",2010,"Pacific",0,0
"Leptospirosis",2010,"Pacific",2,0.8
"Legionellosis",2010,"Pacific",6,2.3
"Salmonellosis",2010,"Pacific",43,16.6
"Hepatitis B",2010,"Pacific",8,3.1
"Brucellosis",2010,"Pacific",0,0
"Acute gastroenteritis",2010,"Pacific",5,1.9
"Campylobacteriosis",2010,"Pacific",151,58.2
"Giardiasis",2010,"Pacific",9,3.5
"Invasive pneumococcal disease",2010,"Asian",19,5.3
"Toxic shellfish poisoning",2010,"Asian",0,0
"Taeniasis",2010,"Asian",1,0.3
"Leprosy",2010,"Asian",2,0.6
"Measles",2010,"Asian",0,0
"Poliomyelitis",2010,"Asian",0,0
"Yersiniosis",2010,"Asian",94,26.3
"Pertussis",2010,"Asian",10,2.8
"VTEC/STEC infection",2010,"Asian",1,0.3
"Tuberculosis disease",2010,"Asian",177,49.6
"Rickettsial disease",2010,"Asian",1,0.3
"Rheumatic fever",2010,"Asian",1,0.3
"Q fever",2010,"Asian",0,0
"Rubella",2010,"Asian",0,0
"Mpox",2010,"Asian",0,0
"Hydatid disease",2010,"Asian",1,0.3
"Mumps",2010,"Asian",11,3.1
"Meningoencephalitis - primary amoebic",2010,"Asian",0,0
"Acute gastroenteritis",2010,"Asian",19,5.3
"Typhoid fever",2010,"Asian",15,4.2
"Paratyphoid fever",2010,"Asian",7,2
"Cryptosporidiosis",2010,"Asian",23,6.4
"Meningococcal disease",2010,"Asian",2,0.6
"Hepatitis NOS",2010,"Asian",2,0.6
"Arboviral diseases",2010,"Asian",7,2
"Cysticercosis",2010,"Asian",0,0
"Shigellosis",2010,"Asian",15,4.2
"Diphtheria",2010,"Asian",0,0
"Malaria",2010,"Asian",21,5.9
"Rabies and other lyssaviruses",2010,"Asian",0,0
"Trichinosis",2010,"Asian",0,0
"Brucellosis",2010,"Asian",0,0
"Leptospirosis",2010,"Asian",0,0
"Hepatitis C",2010,"Asian",0,0
"Listeriosis",2010,"Asian",1,0.3
"Salmonellosis",2010,"Asian",60,16.8
"Haemophilus influenzae type b",2010,"Asian",0,0
"Campylobacteriosis",2010,"Asian",378,105.9
"Cholera",2010,"Asian",0,0
"Tetanus",2010,"Asian",0,0
"Legionellosis",2010,"Asian",8,2.2
"Hepatitis A",2010,"Asian",18,5
"Giardiasis",2010,"Asian",65,18.2
"Hepatitis B",2010,"Asian",7,2
"Rheumatic fever",2010,"MELAA",0,0
"Q fever",2010,"MELAA",0,0
"Pertussis",2010,"MELAA",7,20.5
"Measles",2010,"MELAA",0,0
"Leprosy",2010,"MELAA",0,0
"Rubella",2010,"MELAA",0,0
"Poliomyelitis",2010,"MELAA",0,0
"Invasive pneumococcal disease",2010,"MELAA",2,5.9
"Meningoencephalitis - primary amoebic",2010,"MELAA",0,0
"Toxic shellfish poisoning",2010,"MELAA",0,0
"Taeniasis",2010,"MELAA",2,5.9
"VTEC/STEC infection",2010,"MELAA",3,8.8
"Trichinosis",2010,"MELAA",0,0
"Shigellosis",2010,"MELAA",4,11.7
"Mumps",2010,"MELAA",0,0
"Tuberculosis disease",2010,"MELAA",11,32.2
"Diphtheria",2010,"MELAA",0,0
"Hydatid disease",2010,"MELAA",0,0
"Yersiniosis",2010,"MELAA",5,14.6
"Meningococcal disease",2010,"MELAA",0,0
"Rabies and other lyssaviruses",2010,"MELAA",0,0
"Mpox",2010,"MELAA",0,0
"Arboviral diseases",2010,"MELAA",1,2.9
"Legionellosis",2010,"MELAA",1,2.9
"Cholera",2010,"MELAA",0,0
"Malaria",2010,"MELAA",2,5.9
"Listeriosis",2010,"MELAA",0,0
"Tetanus",2010,"MELAA",0,0
"Cysticercosis",2010,"MELAA",0,0
"Paratyphoid fever",2010,"MELAA",0,0
"Rickettsial disease",2010,"MELAA",0,0
"Hepatitis A",2010,"MELAA",0,0
"Haemophilus influenzae type b",2010,"MELAA",0,0
"Cryptosporidiosis",2010,"MELAA",8,23.4
"Hepatitis C",2010,"MELAA",0,0
"Typhoid fever",2010,"MELAA",0,0
"Salmonellosis",2010,"MELAA",7,20.5
"Leptospirosis",2010,"MELAA",0,0
"Giardiasis",2010,"MELAA",41,120.1
"Hepatitis B",2010,"MELAA",1,2.9
"Hepatitis NOS",2010,"MELAA",0,0
"Acute gastroenteritis",2010,"MELAA",7,20.5
"Brucellosis",2010,"MELAA",0,0
"Campylobacteriosis",2010,"MELAA",51,149.4
"Toxic shellfish poisoning",2010,"European or Others",5,0.2
"VTEC/STEC infection",2010,"European or Others",120,4
"Rheumatic fever",2010,"European or Others",3,0.1
"Tuberculosis disease",2010,"European or Others",31,1
"Rubella",2010,"European or Others",4,0.1
"Leprosy",2010,"European or Others",0,0
"Malaria",2010,"European or Others",11,0.4
"Invasive pneumococcal disease",2010,"European or Others",291,9.7
"Taeniasis",2010,"European or Others",0,0
"Hydatid disease",2010,"European or Others",1,0
"Meningoencephalitis - primary amoebic",2010,"European or Others",0,0
"Shigellosis",2010,"European or Others",47,1.6
"Diphtheria",2010,"European or Others",0,0
"Tetanus",2010,"European or Others",7,0.2
"Trichinosis",2010,"European or Others",0,0
"Pertussis",2010,"European or Others",657,21.8
"Measles",2010,"European or Others",41,1.4
"Typhoid fever",2010,"European or Others",3,0.1
"Meningococcal disease",2010,"European or Others",36,1.2
"Rabies and other lyssaviruses",2010,"European or Others",0,0
"Cryptosporidiosis",2010,"European or Others",800,26.6
"Q fever",2010,"European or Others",1,0
"Mpox",2010,"European or Others",0,0
"Mumps",2010,"European or Others",21,0.7
"Hepatitis A",2010,"European or Others",12,0.4
"Cysticercosis",2010,"European or Others",0,0
"Listeriosis",2010,"European or Others",16,0.5
"Rickettsial disease",2010,"European or Others",12,0.4
"Poliomyelitis",2010,"European or Others",0,0
"Arboviral diseases",2010,"European or Others",42,1.4
"Legionellosis",2010,"European or Others",146,4.8
"Hepatitis NOS",2010,"European or Others",0,0
"Salmonellosis",2010,"European or Others",856,28.4
"Hepatitis C",2010,"European or Others",11,0.4
"Giardiasis",2010,"European or Others",1605,53.3
"Paratyphoid fever",2010,"European or Others",8,0.3
"Leptospirosis",2010,"European or Others",68,2.3
"Yersiniosis",2010,"European or Others",239,7.9
"Cholera",2010,"European or Others",2,0.1
"Haemophilus influenzae type b",2010,"European or Others",3,0.1
"Brucellosis",2010,"European or Others",1,0
"Acute gastroenteritis",2010,"European or Others",389,12.9
"Campylobacteriosis",2010,"European or Others",5838,193.8
"Hepatitis B",2010,"European or Others",24,0.8
"VTEC/STEC infection",2011,"Māori",13,2.4
"Tuberculosis disease",2011,"Māori",40,7.4
"Poliomyelitis",2011,"Māori",0,0
"Rheumatic fever",2011,"Māori",92,17.1
"Tetanus",2011,"Māori",0,0
"Invasive pneumococcal disease",2011,"Māori",111,20.6
"Trichinosis",2011,"Māori",0,0
"Pertussis",2011,"Māori",261,48.5
"Q fever",2011,"Māori",0,0
"Rubella",2011,"Māori",3,0.6
"Mumps",2011,"Māori",9,1.7
"Malaria",2011,"Māori",1,0.2
"Cysticercosis",2011,"Māori",0,0
"Meningoencephalitis - primary amoebic",2011,"Māori",0,0
"Meningococcal disease",2011,"Māori",41,7.6
"Diphtheria",2011,"Māori",0,0
"Rickettsial disease",2011,"Māori",0,0
"Hepatitis B",2011,"Māori",11,2
"Leprosy",2011,"Māori",0,0
"Yersiniosis",2011,"Māori",31,5.8
"Hepatitis A",2011,"Māori",2,0.4
"Listeriosis",2011,"Māori",3,0.6
"Shigellosis",2011,"Māori",11,2
"Salmonellosis",2011,"Māori",84,15.6
"Paratyphoid fever",2011,"Māori",1,0.2
"Typhoid fever",2011,"Māori",0,0
"Measles",2011,"Māori",113,21
"Leptospirosis",2011,"Māori",9,1.7
"Hepatitis NOS",2011,"Māori",0,0
"Arboviral diseases",2011,"Māori",1,0.2
"Mpox",2011,"Māori",0,0
"Toxic shellfish poisoning",2011,"Māori",0,0
"Legionellosis",2011,"Māori",6,1.1
"Hepatitis C",2011,"Māori",4,0.7
"Acute gastroenteritis",2011,"Māori",46,8.6
"Taeniasis",2011,"Māori",0,0
"Hydatid disease",2011,"Māori",0,0
"Giardiasis",2011,"Māori",110,20.5
"Rabies and other lyssaviruses",2011,"Māori",0,0
"Campylobacteriosis",2011,"Māori",464,86.3
"Brucellosis",2011,"Māori",0,0
"Haemophilus influenzae type b",2011,"Māori",2,0.4
"Cholera",2011,"Māori",0,0
"Cryptosporidiosis",2011,"Māori",60,11.2
"Invasive pneumococcal disease",2011,"Pacific",59,22.5
"Leprosy",2011,"Pacific",0,0
"Tuberculosis disease",2011,"Pacific",49,18.7
"Cysticercosis",2011,"Pacific",0,0
"Hepatitis A",2011,"Pacific",3,1.1
"Shigellosis",2011,"Pacific",23,8.8
"Rubella",2011,"Pacific",1,0.4
"Pertussis",2011,"Pacific",63,24
"Diphtheria",2011,"Pacific",0,0
"Rheumatic fever",2011,"Pacific",67,25.6
"Toxic shellfish poisoning",2011,"Pacific",0,0
"Meningococcal disease",2011,"Pacific",19,7.2
"Arboviral diseases",2011,"Pacific",3,1.1
"Mpox",2011,"Pacific",0,0
"Trichinosis",2011,"Pacific",0,0
"Q fever",2011,"Pacific",0,0
"Malaria",2011,"Pacific",3,1.1
"Hepatitis NOS",2011,"Pacific",1,0.4
"Listeriosis",2011,"Pacific",3,1.1
"Mumps",2011,"Pacific",5,1.9
"Giardiasis",2011,"Pacific",22,8.4
"Leptospirosis",2011,"Pacific",2,0.8
"Rickettsial disease",2011,"Pacific",0,0
"VTEC/STEC infection",2011,"Pacific",2,0.8
"Meningoencephalitis - primary amoebic",2011,"Pacific",0,0
"Yersiniosis",2011,"Pacific",23,8.8
"Taeniasis",2011,"Pacific",0,0
"Tetanus",2011,"Pacific",0,0
"Haemophilus influenzae type b",2011,"Pacific",1,0.4
"Cholera",2011,"Pacific",0,0
"Hepatitis C",2011,"Pacific",0,0
"Acute gastroenteritis",2011,"Pacific",17,6.5
"Legionellosis",2011,"Pacific",8,3.1
"Poliomyelitis",2011,"Pacific",0,0
"Cryptosporidiosis",2011,"Pacific",5,1.9
"Typhoid fever",2011,"Pacific",18,6.9
"Measles",2011,"Pacific",62,23.7
"Salmonellosis",2011,"Pacific",42,16
"Hydatid disease",2011,"Pacific",0,0
"Hepatitis B",2011,"Pacific",7,2.7
"Rabies and other lyssaviruses",2011,"Pacific",0,0
"Brucellosis",2011,"Pacific",0,0
"Campylobacteriosis",2011,"Pacific",139,53
"Paratyphoid fever",2011,"Pacific",0,0
"Mumps",2011,"Asian",12,3.3
"Malaria",2011,"Asian",29,8
"Tetanus",2011,"Asian",0,0
"Invasive pneumococcal disease",2011,"Asian",15,4.2
"Q fever",2011,"Asian",0,0
"Tuberculosis disease",2011,"Asian",163,45.2
"Shigellosis",2011,"Asian",14,3.9
"Giardiasis",2011,"Asian",76,21.1
"Leprosy",2011,"Asian",1,0.3
"Taeniasis",2011,"Asian",4,1.1
"Mpox",2011,"Asian",0,0
"Toxic shellfish poisoning",2011,"Asian",0,0
"Cryptosporidiosis",2011,"Asian",17,4.7
"Haemophilus influenzae type b",2011,"Asian",0,0
"Listeriosis",2011,"Asian",5,1.4
"Salmonellosis",2011,"Asian",60,16.6
"Hepatitis A",2011,"Asian",12,3.3
"Diphtheria",2011,"Asian",0,0
"Rubella",2011,"Asian",6,1.7
"VTEC/STEC infection",2011,"Asian",4,1.1
"Pertussis",2011,"Asian",49,13.6
"Meningoencephalitis - primary amoebic",2011,"Asian",0,0
"Rheumatic fever",2011,"Asian",0,0
"Campylobacteriosis",2011,"Asian",289,80.1
"Trichinosis",2011,"Asian",0,0
"Arboviral diseases",2011,"Asian",9,2.5
"Hepatitis B",2011,"Asian",7,1.9
