"Disease","Report Year","Age Group (year)","Case Count","Case rate per 100,000"
"Salmonellosis",2008,"5–9",80,28.7
"Rheumatic fever",2008,"5–9",38,13.7
"Malaria",2008,"10–14",1,0.3
"Paratyphoid fever",2008,"10–14",0,0
"Tuberculosis disease",2008,"10–14",6,2.1
"Legionellosis",2008,"10–14",0,0
"Listeriosis",2008,"10–14",0,0
"Cryptosporidiosis",2008,"10–14",47,16.1
"VTEC/STEC infection",2008,"10–14",5,1.7
"Leptospirosis",2008,"10–14",0,0
"Measles",2008,"10–14",1,0.3
"Trichinosis",2008,"10–14",0,0
"Typhoid fever",2008,"10–14",1,0.3
"Mpox",2008,"10–14",0,0
"Rabies and other lyssaviruses",2008,"10–14",0,0
"Poliomyelitis",2008,"10–14",0,0
"Hepatitis B",2008,"10–14",0,0
"Hydatid disease",2008,"10–14",0,0
"Diphtheria",2008,"10–14",0,0
"Giardiasis",2008,"10–14",33,11.3
"Hepatitis NOS",2008,"10–14",0,0
"Meningoencephalitis - primary amoebic",2008,"10–14",0,0
"Brucellosis",2008,"10–14",0,0
"Hepatitis C",2008,"10–14",0,0
"Cysticercosis",2008,"10–14",0,0
"Pertussis",2008,"10–14",41,14
"Invasive pneumococcal disease",2008,"10–14",2,0.7
"Taeniasis",2008,"10–14",0,0
"Leprosy",2008,"10–14",0,0
"Haemophilus influenzae type b",2008,"10–14",2,0.7
"Rubella",2008,"10–14",0,0
"Shigellosis",2008,"10–14",7,2.4
"Cholera",2008,"10–14",0,0
"Rickettsial disease",2008,"10–14",0,0
"Acute gastroenteritis",2008,"10–14",14,4.8
"Hepatitis A",2008,"10–14",8,2.7
"Rheumatic fever",2008,"10–14",70,24
"Meningococcal disease",2008,"10–14",9,3.1
"Arboviral diseases",2008,"10–14",5,1.7
"Salmonellosis",2008,"10–14",54,18.5
"Mumps",2008,"10–14",12,4.1
"Tetanus",2008,"10–14",0,0
"Toxic shellfish poisoning",2008,"10–14",0,0
"Campylobacteriosis",2008,"10–14",272,93.2
"Q fever",2008,"10–14",0,0
"Yersiniosis",2008,"10–14",18,6.2
"Mpox",2008,"15–19",0,0
"Malaria",2008,"15–19",4,1.3
"Listeriosis",2008,"15–19",1,0.3
"Hydatid disease",2008,"15–19",0,0
"Diphtheria",2008,"15–19",0,0
"Legionellosis",2008,"15–19",0,0
"Cryptosporidiosis",2008,"15–19",57,18.3
"Typhoid fever",2008,"15–19",3,1
"Shigellosis",2008,"15–19",4,1.3
"Measles",2008,"15–19",1,0.3
"Acute gastroenteritis",2008,"15–19",29,9.3
"Cysticercosis",2008,"15–19",0,0
"Meningoencephalitis - primary amoebic",2008,"15–19",0,0
"Giardiasis",2008,"15–19",43,13.8
"Arboviral diseases",2008,"15–19",8,2.6
"Tuberculosis disease",2008,"15–19",15,4.8
"Pertussis",2008,"15–19",28,9
"Hepatitis C",2008,"15–19",1,0.3
"Taeniasis",2008,"15–19",1,0.3
"VTEC/STEC infection",2008,"15–19",11,3.5
"Invasive pneumococcal disease",2008,"15–19",4,1.3
"Leprosy",2008,"15–19",0,0
"Haemophilus influenzae type b",2008,"15–19",0,0
"Salmonellosis",2008,"15–19",75,24.1
"Rheumatic fever",2008,"15–19",21,6.8
"Rubella",2008,"15–19",1,0.3
"Paratyphoid fever",2008,"15–19",1,0.3
"Hepatitis B",2008,"15–19",1,0.3
"Rickettsial disease",2008,"15–19",0,0
"Leptospirosis",2008,"15–19",4,1.3
"Trichinosis",2008,"15–19",0,0
"Meningococcal disease",2008,"15–19",13,4.2
"Yersiniosis",2008,"15–19",20,6.4
"Rabies and other lyssaviruses",2008,"15–19",0,0
"Toxic shellfish poisoning",2008,"15–19",0,0
"Cholera",2008,"15–19",0,0
"Poliomyelitis",2008,"15–19",0,0
"Mumps",2008,"15–19",3,1
"Q fever",2008,"15–19",0,0
"Brucellosis",2008,"15–19",0,0
"Hepatitis NOS",2008,"15–19",0,0
"Campylobacteriosis",2008,"15–19",468,150.5
"Tetanus",2008,"15–19",0,0
"Hepatitis A",2008,"15–19",9,2.9
"Tuberculosis disease",2008,"20–24",28,9.9
"Shigellosis",2008,"20–24",6,2.1
"Hydatid disease",2008,"20–24",0,0
"Paratyphoid fever",2008,"20–24",4,1.4
"Mpox",2008,"20–24",0,0
"Malaria",2008,"20–24",4,1.4
"Listeriosis",2008,"20–24",1,0.4
"Mumps",2008,"20–24",1,0.4
"Typhoid fever",2008,"20–24",2,0.7
"Diphtheria",2008,"20–24",0,0
"Invasive pneumococcal disease",2008,"20–24",1,0.4
"Taeniasis",2008,"20–24",1,0.4
"Meningococcal disease",2008,"20–24",3,1.1
"Cryptosporidiosis",2008,"20–24",52,18.4
"Giardiasis",2008,"20–24",58,20.6
"Hepatitis C",2008,"20–24",7,2.5
"Rickettsial disease",2008,"20–24",0,0
"VTEC/STEC infection",2008,"20–24",6,2.1
"Measles",2008,"20–24",1,0.4
"Arboviral diseases",2008,"20–24",8,2.8
"Rheumatic fever",2008,"20–24",12,4.3
"Cysticercosis",2008,"20–24",0,0
"Meningoencephalitis - primary amoebic",2008,"20–24",0,0
"Haemophilus influenzae type b",2008,"20–24",0,0
"Hepatitis B",2008,"20–24",3,1.1
"Leptospirosis",2008,"20–24",20,7.1
"Pertussis",2008,"20–24",14,5
"Brucellosis",2008,"20–24",0,0
"Salmonellosis",2008,"20–24",96,34
"Poliomyelitis",2008,"20–24",0,0
"Acute gastroenteritis",2008,"20–24",30,10.6
"Leprosy",2008,"20–24",2,0.7
"Cholera",2008,"20–24",0,0
"Hepatitis NOS",2008,"20–24",0,0
"Yersiniosis",2008,"20–24",29,10.3
"Toxic shellfish poisoning",2008,"20–24",0,0
"Hepatitis A",2008,"20–24",9,3.2
"Rubella",2008,"20–24",1,0.4
"Rabies and other lyssaviruses",2008,"20–24",0,0
"Q fever",2008,"20–24",0,0
"Trichinosis",2008,"20–24",0,0
"Tetanus",2008,"20–24",0,0
"Campylobacteriosis",2008,"20–24",602,213.3
"Legionellosis",2008,"20–24",1,0.4
"Shigellosis",2008,"25–29",9,3.5
"Listeriosis",2008,"25–29",3,1.2
"Hepatitis C",2008,"25–29",5,1.9
"Diphtheria",2008,"25–29",0,0
"Malaria",2008,"25–29",10,3.8
"Hydatid disease",2008,"25–29",0,0
"Meningoencephalitis - primary amoebic",2008,"25–29",0,0
"Arboviral diseases",2008,"25–29",15,5.8
"Leprosy",2008,"25–29",0,0
"Typhoid fever",2008,"25–29",3,1.2
"Hepatitis A",2008,"25–29",7,2.7
"Hepatitis B",2008,"25–29",3,1.2
"Rubella",2008,"25–29",0,0
"Cryptosporidiosis",2008,"25–29",46,17.7
"Acute gastroenteritis",2008,"25–29",37,14.2
"Pertussis",2008,"25–29",19,7.3
"Salmonellosis",2008,"25–29",86,33.1
"Rheumatic fever",2008,"25–29",3,1.2
"Meningococcal disease",2008,"25–29",4,1.5
"Haemophilus influenzae type b",2008,"25–29",0,0
"Poliomyelitis",2008,"25–29",0,0
"Cholera",2008,"25–29",0,0
"Giardiasis",2008,"25–29",96,37
"Q fever",2008,"25–29",0,0
"Measles",2008,"25–29",0,0
"Paratyphoid fever",2008,"25–29",1,0.4
"Mpox",2008,"25–29",0,0
"Mumps",2008,"25–29",5,1.9
"Hepatitis NOS",2008,"25–29",0,0
"Campylobacteriosis",2008,"25–29",459,176.7
"Leptospirosis",2008,"25–29",8,3.1
"Taeniasis",2008,"25–29",0,0
"Cysticercosis",2008,"25–29",0,0
"Toxic shellfish poisoning",2008,"25–29",0,0
"Invasive pneumococcal disease",2008,"25–29",0,0
"Rabies and other lyssaviruses",2008,"25–29",0,0
"Tetanus",2008,"25–29",0,0
"Brucellosis",2008,"25–29",1,0.4
"Tuberculosis disease",2008,"25–29",31,11.9
"Yersiniosis",2008,"25–29",22,8.5
"Rickettsial disease",2008,"25–29",1,0.4
"Trichinosis",2008,"25–29",0,0
"Legionellosis",2008,"25–29",1,0.4
"VTEC/STEC infection",2008,"25–29",10,3.8
"Diphtheria",2008,"30–34",0,0
"Malaria",2008,"30–34",3,1.2
"Hydatid disease",2008,"30–34",0,0
"Rubella",2008,"30–34",0,0
"Rickettsial disease",2008,"30–34",2,0.8
"Meningoencephalitis - primary amoebic",2008,"30–34",0,0
"Listeriosis",2008,"30–34",0,0
"Meningococcal disease",2008,"30–34",2,0.8
"Brucellosis",2008,"30–34",0,0
"Paratyphoid fever",2008,"30–34",3,1.2
"Hepatitis B",2008,"30–34",3,1.2
"Q fever",2008,"30–34",0,0
"Hepatitis NOS",2008,"30–34",0,0
"Taeniasis",2008,"30–34",0,0
"Leprosy",2008,"30–34",1,0.4
"Arboviral diseases",2008,"30–34",4,1.5
"Trichinosis",2008,"30–34",0,0
"Haemophilus influenzae type b",2008,"30–34",0,0
"Invasive pneumococcal disease",2008,"30–34",3,1.2
"Toxic shellfish poisoning",2008,"30–34",0,0
"Shigellosis",2008,"30–34",9,3.5
"Pertussis",2008,"30–34",26,10
"Hepatitis C",2008,"30–34",2,0.8
"Legionellosis",2008,"30–34",2,0.8
"Tetanus",2008,"30–34",0,0
"Tuberculosis disease",2008,"30–34",30,11.6
"Leptospirosis",2008,"30–34",7,2.7
"Rheumatic fever",2008,"30–34",5,1.9
"Mumps",2008,"30–34",7,2.7
"Hepatitis A",2008,"30–34",7,2.7
"Poliomyelitis",2008,"30–34",0,0
"Cysticercosis",2008,"30–34",0,0
"Measles",2008,"30–34",0,0
"Cryptosporidiosis",2008,"30–34",44,17
"Cholera",2008,"30–34",0,0
"Mpox",2008,"30–34",0,0
"Acute gastroenteritis",2008,"30–34",36,13.9
"Yersiniosis",2008,"30–34",23,8.9
"Giardiasis",2008,"30–34",174,67.1
"Campylobacteriosis",2008,"30–34",407,156.8
"Typhoid fever",2008,"30–34",2,0.8
"Salmonellosis",2008,"30–34",83,32
"VTEC/STEC infection",2008,"30–34",1,0.4
"Rabies and other lyssaviruses",2008,"30–34",0,0
"Meningococcal disease",2008,"35–39",2,0.7
"Diphtheria",2008,"35–39",0,0
"Arboviral diseases",2008,"35–39",8,2.7
"Toxic shellfish poisoning",2008,"35–39",0,0
"Listeriosis",2008,"35–39",2,0.7
"Haemophilus influenzae type b",2008,"35–39",1,0.3
"Paratyphoid fever",2008,"35–39",1,0.3
"Q fever",2008,"35–39",0,0
"Rickettsial disease",2008,"35–39",2,0.7
"Hepatitis C",2008,"35–39",2,0.7
"Mumps",2008,"35–39",3,1
"Campylobacteriosis",2008,"35–39",410,136.7
"Rheumatic fever",2008,"35–39",2,0.7
"Meningoencephalitis - primary amoebic",2008,"35–39",0,0
"Hepatitis B",2008,"35–39",6,2
"Rubella",2008,"35–39",0,0
"Leprosy",2008,"35–39",0,0
"Shigellosis",2008,"35–39",9,3
"Taeniasis",2008,"35–39",3,1
"Hydatid disease",2008,"35–39",1,0.3
"Tetanus",2008,"35–39",0,0
"Tuberculosis disease",2008,"35–39",27,9
"Malaria",2008,"35–39",4,1.3
"Leptospirosis",2008,"35–39",18,6
"VTEC/STEC infection",2008,"35–39",9,3
"Yersiniosis",2008,"35–39",24,8
"Salmonellosis",2008,"35–39",81,27
"Poliomyelitis",2008,"35–39",0,0
"Cysticercosis",2008,"35–39",0,0
"Pertussis",2008,"35–39",25,8.3
"Hepatitis A",2008,"35–39",8,2.7
"Typhoid fever",2008,"35–39",1,0.3
"Mpox",2008,"35–39",0,0
"Hepatitis NOS",2008,"35–39",1,0.3
"Giardiasis",2008,"35–39",221,73.7
"Cryptosporidiosis",2008,"35–39",42,14
"Acute gastroenteritis",2008,"35–39",47,15.7
"Invasive pneumococcal disease",2008,"35–39",6,2
"Trichinosis",2008,"35–39",0,0
"Measles",2008,"35–39",0,0
"Brucellosis",2008,"35–39",0,0
"Cholera",2008,"35–39",0,0
"Legionellosis",2008,"35–39",4,1.3
"Rabies and other lyssaviruses",2008,"35–39",0,0
"Arboviral diseases",2008,"40–44",11,3.6
"Cryptosporidiosis",2008,"40–44",20,6.6
"Listeriosis",2008,"40–44",1,0.3
"Hepatitis B",2008,"40–44",4,1.3
"Typhoid fever",2008,"40–44",2,0.7
"Giardiasis",2008,"40–44",121,40.1
"Haemophilus influenzae type b",2008,"40–44",0,0
"Pertussis",2008,"40–44",26,8.6
"Campylobacteriosis",2008,"40–44",391,129.5
"Salmonellosis",2008,"40–44",76,25.2
"Yersiniosis",2008,"40–44",23,7.6
"VTEC/STEC infection",2008,"40–44",4,1.3
"Taeniasis",2008,"40–44",0,0
"Poliomyelitis",2008,"40–44",0,0
"Malaria",2008,"40–44",3,1
"Invasive pneumococcal disease",2008,"40–44",3,1
"Legionellosis",2008,"40–44",3,1
"Tuberculosis disease",2008,"40–44",18,6
"Rheumatic fever",2008,"40–44",2,0.7
"Leptospirosis",2008,"40–44",10,3.3
"Hepatitis NOS",2008,"40–44",0,0
"Trichinosis",2008,"40–44",0,0
"Toxic shellfish poisoning",2008,"40–44",0,0
"Acute gastroenteritis",2008,"40–44",57,18.9
"Mpox",2008,"40–44",0,0
"Leprosy",2008,"40–44",0,0
"Diphtheria",2008,"40–44",0,0
"Hepatitis A",2008,"40–44",3,1
"Mumps",2008,"40–44",3,1
"Measles",2008,"40–44",0,0
"Rickettsial disease",2008,"40–44",1,0.3
"Cysticercosis",2008,"40–44",0,0
"Shigellosis",2008,"40–44",13,4.3
"Q fever",2008,"40–44",0,0
"Meningococcal disease",2008,"40–44",4,1.3
"Rabies and other lyssaviruses",2008,"40–44",0,0
"Hydatid disease",2008,"40–44",1,0.3
"Cholera",2008,"40–44",0,0
"Brucellosis",2008,"40–44",1,0.3
"Meningoencephalitis - primary amoebic",2008,"40–44",0,0
"Rubella",2008,"40–44",0,0
"Tetanus",2008,"40–44",0,0
"Hepatitis C",2008,"40–44",2,0.7
"Paratyphoid fever",2008,"40–44",3,1
"Typhoid fever",2009,"0–4",1,0.3
"Paratyphoid fever",2009,"0–4",2,0.7
"Diphtheria",2009,"0–4",0,0
"Legionellosis",2009,"0–4",0,0
"Cryptosporidiosis",2009,"0–4",296,100.4
"Measles",2009,"0–4",100,33.9
"Invasive pneumococcal disease",2009,"0–4",98,33.2
"VTEC/STEC infection",2009,"0–4",62,21
"Trichinosis",2009,"0–4",0,0
"Shigellosis",2009,"0–4",13,4.4
"Meningococcal disease",2009,"0–4",63,21.4
"Hepatitis NOS",2009,"0–4",0,0
"Cysticercosis",2009,"0–4",0,0
"Toxic shellfish poisoning",2009,"0–4",0,0
"Giardiasis",2009,"0–4",367,124.5
"Hepatitis B",2009,"0–4",1,0.3
"Tuberculosis disease",2009,"0–4",12,4.1
"Pertussis",2009,"0–4",259,87.8
"Brucellosis",2009,"0–4",0,0
"Hepatitis A",2009,"0–4",2,0.7
"Hydatid disease",2009,"0–4",0,0
"Acute gastroenteritis",2009,"0–4",118,40
"Leptospirosis",2009,"0–4",0,0
"Arboviral diseases",2009,"0–4",0,0
"Yersiniosis",2009,"0–4",135,45.8
"Leprosy",2009,"0–4",0,0
"Mpox",2009,"0–4",0,0
"Cholera",2009,"0–4",0,0
"Rubella",2009,"0–4",3,1
"Malaria",2009,"0–4",2,0.7
"Hepatitis C",2009,"0–4",0,0
"Haemophilus influenzae type b",2009,"0–4",4,1.4
"Poliomyelitis",2009,"0–4",0,0
"Salmonellosis",2009,"0–4",297,100.7
"Rabies and other lyssaviruses",2009,"0–4",0,0
"Campylobacteriosis",2009,"0–4",974,330.3
"Rickettsial disease",2009,"0–4",1,0.3
"Taeniasis",2009,"0–4",0,0
"Meningoencephalitis - primary amoebic",2009,"0–4",0,0
"Listeriosis",2009,"0–4",0,0
"Rheumatic fever",2009,"0–4",2,0.7
"Mumps",2009,"0–4",19,6.4
"Tetanus",2009,"0–4",0,0
"Q fever",2009,"0–4",0,0
"Hepatitis A",2009,"45–49",5,1.6
"Shigellosis",2009,"45–49",8,2.6
"Mpox",2009,"45–49",0,0
"Rickettsial disease",2009,"45–49",1,0.3
"Q fever",2009,"45–49",0,0
"Measles",2009,"45–49",1,0.3
"Leptospirosis",2009,"45–49",11,3.5
"Hydatid disease",2009,"45–49",0,0
"Cholera",2009,"45–49",0,0
"Giardiasis",2009,"45–49",98,31.6
"Hepatitis B",2009,"45–49",10,3.2
"Diphtheria",2009,"45–49",0,0
"Cryptosporidiosis",2009,"45–49",23,7.4
"Typhoid fever",2009,"45–49",2,0.6
"Yersiniosis",2009,"45–49",28,9
"Hepatitis NOS",2009,"45–49",0,0
"Pertussis",2009,"45–49",84,27.1
"Meningococcal disease",2009,"45–49",4,1.3
"Poliomyelitis",2009,"45–49",0,0
"Acute gastroenteritis",2009,"45–49",52,16.8
"Rubella",2009,"45–49",0,0
"Toxic shellfish poisoning",2009,"45–49",0,0
"Invasive pneumococcal disease",2009,"45–49",22,7.1
"Cysticercosis",2009,"45–49",0,0
"Leprosy",2009,"45–49",0,0
"Hepatitis C",2009,"45–49",6,1.9
"Arboviral diseases",2009,"45–49",14,4.5
"Taeniasis",2009,"45–49",0,0
"Tuberculosis disease",2009,"45–49",22,7.1
"Meningoencephalitis - primary amoebic",2009,"45–49",0,0
"Rheumatic fever",2009,"45–49",0,0
"Malaria",2009,"45–49",3,1
"Rabies and other lyssaviruses",2009,"45–49",0,0
"Haemophilus influenzae type b",2009,"45–49",0,0
"Brucellosis",2009,"45–49",0,0
"VTEC/STEC infection",2009,"45–49",5,1.6
"Listeriosis",2009,"45–49",1,0.3
"Tetanus",2009,"45–49",0,0
"Paratyphoid fever",2009,"45–49",0,0
"Legionellosis",2009,"45–49",7,2.3
"Salmonellosis",2009,"45–49",61,19.7
"Mumps",2009,"45–49",1,0.3
"Trichinosis",2009,"45–49",0,0
"Campylobacteriosis",2009,"45–49",437,140.9
"Cryptosporidiosis",2009,"50–54",10,3.7
"Meningoencephalitis - primary amoebic",2009,"50–54",0,0
"Rickettsial disease",2009,"50–54",0,0
"Poliomyelitis",2009,"50–54",0,0
"Q fever",2009,"50–54",0,0
"Meningococcal disease",2009,"50–54",2,0.7
"Invasive pneumococcal disease",2009,"50–54",32,11.7
"Haemophilus influenzae type b",2009,"50–54",0,0
"Typhoid fever",2009,"50–54",0,0
"Pertussis",2009,"50–54",72,26.4
"Taeniasis",2009,"50–54",0,0
"Hepatitis A",2009,"50–54",1,0.4
"Mpox",2009,"50–54",0,0
"Rheumatic fever",2009,"50–54",0,0
"Cysticercosis",2009,"50–54",0,0
"Leptospirosis",2009,"50–54",9,3.3
"Trichinosis",2009,"50–54",0,0
"Rubella",2009,"50–54",0,0
"Toxic shellfish poisoning",2009,"50–54",0,0
"Hepatitis B",2009,"50–54",0,0
"Diphtheria",2009,"50–54",0,0
"Measles",2009,"50–54",0,0
"Hepatitis C",2009,"50–54",0,0
"Tuberculosis disease",2009,"50–54",18,6.6
"Arboviral diseases",2009,"50–54",13,4.8
"Hepatitis NOS",2009,"50–54",0,0
"VTEC/STEC infection",2009,"50–54",5,1.8
"Rabies and other lyssaviruses",2009,"50–54",0,0
"Salmonellosis",2009,"50–54",60,22
"Tetanus",2009,"50–54",0,0
"Shigellosis",2009,"50–54",5,1.8
"Listeriosis",2009,"50–54",2,0.7
"Malaria",2009,"50–54",2,0.7
"Paratyphoid fever",2009,"50–54",1,0.4
"Giardiasis",2009,"50–54",88,32.2
"Hydatid disease",2009,"50–54",0,0
"Leprosy",2009,"50–54",0,0
"Acute gastroenteritis",2009,"50–54",46,16.8
"Yersiniosis",2009,"50–54",24,8.8
"Mumps",2009,"50–54",0,0
"Brucellosis",2009,"50–54",0,0
"Campylobacteriosis",2009,"50–54",412,150.9
"Cholera",2009,"50–54",0,0
"Legionellosis",2009,"50–54",4,1.5
"Rheumatic fever",2009,"55–59",0,0
"Typhoid fever",2009,"55–59",0,0
"Toxic shellfish poisoning",2009,"55–59",0,0
"Meningococcal disease",2009,"55–59",1,0.4
"Giardiasis",2009,"55–59",65,27.4
"Poliomyelitis",2009,"55–59",0,0
"Invasive pneumococcal disease",2009,"55–59",29,12.2
"Hepatitis A",2009,"55–59",5,2.1
"Hepatitis NOS",2009,"55–59",0,0
"Rubella",2009,"55–59",0,0
"Cysticercosis",2009,"55–59",0,0
"Leptospirosis",2009,"55–59",5,2.1
"Trichinosis",2009,"55–59",0,0
"Haemophilus influenzae type b",2009,"55–59",0,0
"Brucellosis",2009,"55–59",0,0
"Taeniasis",2009,"55–59",0,0
"Q fever",2009,"55–59",0,0
"Pertussis",2009,"55–59",71,29.9
"Hepatitis C",2009,"55–59",0,0
"Malaria",2009,"55–59",1,0.4
"Mpox",2009,"55–59",0,0
"Diphtheria",2009,"55–59",0,0
"VTEC/STEC infection",2009,"55–59",6,2.5
"Rabies and other lyssaviruses",2009,"55–59",0,0
"Salmonellosis",2009,"55–59",55,23.2
"Campylobacteriosis",2009,"55–59",362,152.4
"Meningoencephalitis - primary amoebic",2009,"55–59",0,0
"Listeriosis",2009,"55–59",0,0
"Hepatitis B",2009,"55–59",3,1.3
"Acute gastroenteritis",2009,"55–59",33,13.9
"Tuberculosis disease",2009,"55–59",21,8.8
"Rickettsial disease",2009,"55–59",0,0
"Hydatid disease",2009,"55–59",0,0
"Cholera",2009,"55–59",0,0
"Paratyphoid fever",2009,"55–59",1,0.4
"Mumps",2009,"55–59",1,0.4
"Leprosy",2009,"55–59",0,0
"Measles",2009,"55–59",1,0.4
"Legionellosis",2009,"55–59",6,2.5
"Shigellosis",2009,"55–59",7,2.9
"Arboviral diseases",2009,"55–59",17,7.2
"Cryptosporidiosis",2009,"55–59",20,8.4
"Yersiniosis",2009,"55–59",21,8.8
"Tetanus",2009,"55–59",0,0
"Toxic shellfish poisoning",2009,"60–64",0,0
"Pertussis",2009,"60–64",61,28.7
"Brucellosis",2009,"60–64",0,0
"Leptospirosis",2009,"60–64",3,1.4
"Typhoid fever",2009,"60–64",0,0
"Q fever",2009,"60–64",0,0
"Rabies and other lyssaviruses",2009,"60–64",0,0
"Listeriosis",2009,"60–64",2,0.9
"Mpox",2009,"60–64",0,0
"Poliomyelitis",2009,"60–64",0,0
"Rheumatic fever",2009,"60–64",0,0
"Salmonellosis",2009,"60–64",45,21.1
"Haemophilus influenzae type b",2009,"60–64",1,0.5
"VTEC/STEC infection",2009,"60–64",5,2.3
"Rickettsial disease",2009,"60–64",0,0
"Hepatitis B",2009,"60–64",6,2.8
"Rubella",2009,"60–64",0,0
"Giardiasis",2009,"60–64",66,31
"Hepatitis NOS",2009,"60–64",1,0.5
"Leprosy",2009,"60–64",0,0
"Yersiniosis",2009,"60–64",21,9.9
"Malaria",2009,"60–64",3,1.4
"Trichinosis",2009,"60–64",0,0
"Meningoencephalitis - primary amoebic",2009,"60–64",0,0
"Shigellosis",2009,"60–64",6,2.8
"Taeniasis",2009,"60–64",0,0
"Meningococcal disease",2009,"60–64",4,1.9
"Tuberculosis disease",2009,"60–64",13,6.1
"Hydatid disease",2009,"60–64",0,0
"Paratyphoid fever",2009,"60–64",0,0
"Hepatitis A",2009,"60–64",1,0.5
"Mumps",2009,"60–64",1,0.5
"Arboviral diseases",2009,"60–64",14,6.6
"Acute gastroenteritis",2009,"60–64",28,13.2
"Diphtheria",2009,"60–64",0,0
"Invasive pneumococcal disease",2009,"60–64",40,18.8
"Cysticercosis",2009,"60–64",0,0
"Cholera",2009,"60–64",0,0
"Cryptosporidiosis",2009,"60–64",9,4.2
"Hepatitis C",2009,"60–64",0,0
"Campylobacteriosis",2009,"60–64",367,172.4
"Measles",2009,"60–64",0,0
"Legionellosis",2009,"60–64",11,5.2
"Tetanus",2009,"60–64",0,0
"Typhoid fever",2009,"65–69",0,0
"Poliomyelitis",2009,"65–69",0,0
"Brucellosis",2009,"65–69",0,0
"Leprosy",2009,"65–69",0,0
"Tuberculosis disease",2009,"65–69",17,10.3
"Q fever",2009,"65–69",0,0
"Rabies and other lyssaviruses",2009,"65–69",0,0
"Trichinosis",2009,"65–69",0,0
"Taeniasis",2009,"65–69",0,0
"Pertussis",2009,"65–69",31,18.8
"Cysticercosis",2009,"65–69",0,0
"Toxic shellfish poisoning",2009,"65–69",1,0.6
"Hydatid disease",2009,"65–69",1,0.6
"VTEC/STEC infection",2009,"65–69",4,2.4
"Rheumatic fever",2009,"65–69",0,0
"Arboviral diseases",2009,"65–69",8,4.9
"Legionellosis",2009,"65–69",10,6.1
"Salmonellosis",2009,"65–69",27,16.4
"Mpox",2009,"65–69",0,0
"Hepatitis C",2009,"65–69",0,0
"Malaria",2009,"65–69",0,0
"Shigellosis",2009,"65–69",6,3.6
"Diphtheria",2009,"65–69",0,0
"Meningococcal disease",2009,"65–69",1,0.6
"Giardiasis",2009,"65–69",45,27.3
"Campylobacteriosis",2009,"65–69",299,181.3
"Paratyphoid fever",2009,"65–69",1,0.6
"Rickettsial disease",2009,"65–69",0,0
"Hepatitis A",2009,"65–69",3,1.8
"Tetanus",2009,"65–69",0,0
"Yersiniosis",2009,"65–69",15,9.1
"Meningoencephalitis - primary amoebic",2009,"65–69",0,0
"Mumps",2009,"65–69",1,0.6
"Cryptosporidiosis",2009,"65–69",6,3.6
"Cholera",2009,"65–69",0,0
"Listeriosis",2009,"65–69",1,0.6
"Rubella",2009,"65–69",0,0
"Hepatitis NOS",2009,"65–69",0,0
"Invasive pneumococcal disease",2009,"65–69",48,29.1
"Acute gastroenteritis",2009,"65–69",25,15.2
"Leptospirosis",2009,"65–69",2,1.2
"Haemophilus influenzae type b",2009,"65–69",1,0.6
"Hepatitis B",2009,"65–69",2,1.2
"Measles",2009,"65–69",0,0
"Typhoid fever",2009,"70–74",0,0
"Pertussis",2009,"70–74",28,22.3
"Meningoencephalitis - primary amoebic",2009,"70–74",0,0
"Arboviral diseases",2009,"70–74",3,2.4
"Tuberculosis disease",2009,"70–74",11,8.8
"Rheumatic fever",2009,"70–74",0,0
"Hepatitis A",2009,"70–74",0,0
"Acute gastroenteritis",2009,"70–74",17,13.6
"Legionellosis",2009,"70–74",8,6.4
"Mpox",2009,"70–74",0,0
"Tetanus",2009,"70–74",0,0
"Meningococcal disease",2009,"70–74",1,0.8
"Toxic shellfish poisoning",2009,"70–74",0,0
"Brucellosis",2009,"70–74",0,0
"Leptospirosis",2009,"70–74",1,0.8
"Invasive pneumococcal disease",2009,"70–74",44,35.1
"Campylobacteriosis",2009,"70–74",199,158.8
"Rickettsial disease",2009,"70–74",0,0
"Yersiniosis",2009,"70–74",10,8
"Hepatitis C",2009,"70–74",0,0
"Poliomyelitis",2009,"70–74",0,0
"Leprosy",2009,"70–74",0,0
"VTEC/STEC infection",2009,"70–74",3,2.4
"Trichinosis",2009,"70–74",0,0
"Rubella",2009,"70–74",0,0
"Q fever",2009,"70–74",0,0
"Hydatid disease",2009,"70–74",1,0.8
"Measles",2009,"70–74",0,0
"Hepatitis NOS",2009,"70–74",0,0
"Malaria",2009,"70–74",0,0
"Cryptosporidiosis",2009,"70–74",8,6.4
"Cholera",2009,"70–74",0,0
"Haemophilus influenzae type b",2009,"70–74",0,0
"Mumps",2009,"70–74",0,0
"Paratyphoid fever",2009,"70–74",0,0
"Taeniasis",2009,"70–74",0,0
"Rabies and other lyssaviruses",2009,"70–74",0,0
"Listeriosis",2009,"70–74",5,4
"Shigellosis",2009,"70–74",2,1.6
"Diphtheria",2009,"70–74",0,0
"Salmonellosis",2009,"70–74",31,24.7
"Cysticercosis",2009,"70–74",0,0
"Hepatitis B",2009,"70–74",3,2.4
"Giardiasis",2009,"70–74",12,9.6
"Pertussis",2009,"75–79",16,15.9
"Yersiniosis",2009,"75–79",10,9.9
"Tuberculosis disease",2009,"75–79",5,5
"Poliomyelitis",2009,"75–79",0,0
"Arboviral diseases",2009,"75–79",0,0
"VTEC/STEC infection",2009,"75–79",3,3
"Cysticercosis",2009,"75–79",0,0
