"Disease","Report Year","DHBName","Sex Group","Case Count","Case rate per 100,000"
"Hepatitis NOS",2007,"West Coast","Female",0,0
"Arboviral diseases",2007,"West Coast","Female",0,0
"Salmonellosis",2007,"West Coast","Female",5,32.8
"Campylobacteriosis",2007,"West Coast","Female",37,242.7
"Brucellosis",2007,"West Coast","Female",0,0
"Cryptosporidiosis",2007,"West Coast","Female",6,39.4
"Tetanus",2007,"West Coast","Female",0,0
"Acute gastroenteritis",2007,"West Coast","Female",4,26.2
"Pertussis",2007,"West Coast","Female",0,0
"Cysticercosis",2007,"West Coast","Female",0,0
"Q fever",2007,"West Coast","Female",0,0
"Rickettsial disease",2007,"West Coast","Female",0,0
"Trichinosis",2007,"West Coast","Female",0,0
"Hydatid disease",2007,"West Coast","Female",0,0
"Rheumatic fever",2007,"West Coast","Female",0,0
"Poliomyelitis",2007,"West Coast","Female",0,0
"Meningoencephalitis - primary amoebic",2007,"West Coast","Female",0,0
"Paratyphoid fever",2007,"West Coast","Female",0,0
"Invasive pneumococcal disease",2007,"West Coast","Female",0,0
"Taeniasis",2007,"West Coast","Female",0,0
"Hepatitis A",2007,"West Coast","Female",0,0
"Hepatitis B",2007,"West Coast","Female",0,0
"Cholera",2007,"West Coast","Female",0,0
"Malaria",2007,"West Coast","Female",0,0
"Leprosy",2007,"West Coast","Female",0,0
"Shigellosis",2007,"West Coast","Female",0,0
"Diphtheria",2007,"West Coast","Female",0,0
"Tuberculosis disease",2007,"West Coast","Female",0,0
"Haemophilus influenzae type b",2007,"West Coast","Female",0,0
"Leptospirosis",2007,"West Coast","Female",0,0
"Legionellosis",2007,"West Coast","Female",0,0
"Typhoid fever",2007,"West Coast","Female",0,0
"Mpox",2007,"West Coast","Female",0,0
"Meningococcal disease",2007,"West Coast","Female",1,6.6
"Listeriosis",2007,"West Coast","Female",0,0
"Yersiniosis",2007,"West Coast","Female",13,85.3
"Measles",2007,"West Coast","Female",2,13.1
"Hepatitis C",2007,"West Coast","Female",1,6.6
"Rabies and other lyssaviruses",2007,"West Coast","Female",0,0
"Giardiasis",2007,"West Coast","Female",2,13.1
"Rubella",2007,"West Coast","Female",1,6.6
"Mumps",2008,"Waitemata","Male",2,0.8
"Campylobacteriosis",2008,"Waitemata","Male",477,194.6
"Paratyphoid fever",2008,"Waitemata","Male",3,1.2
"Yersiniosis",2008,"Waitemata","Male",26,10.6
"Pertussis",2008,"Waitemata","Male",8,3.3
"Tetanus",2008,"Waitemata","Male",0,0
"Trichinosis",2008,"Waitemata","Male",0,0
"Acute gastroenteritis",2008,"Waitemata","Male",61,24.9
"Q fever",2008,"Waitemata","Male",0,0
"Leptospirosis",2008,"Waitemata","Male",3,1.2
"Malaria",2008,"Waitemata","Male",3,1.2
"Hepatitis A",2008,"Waitemata","Male",4,1.6
"Poliomyelitis",2008,"Waitemata","Male",0,0
"Meningoencephalitis - primary amoebic",2008,"Waitemata","Male",0,0
"Toxic shellfish poisoning",2008,"Waitemata","Male",0,0
"Invasive pneumococcal disease",2008,"Waitemata","Male",10,4.1
"Rheumatic fever",2008,"Waitemata","Male",9,3.7
"Taeniasis",2008,"Waitemata","Male",0,0
"Hydatid disease",2008,"Waitemata","Male",0,0
"Salmonellosis",2008,"Waitemata","Male",68,27.7
"Cholera",2008,"Waitemata","Male",0,0
"Arboviral diseases",2008,"Waitemata","Male",8,3.3
"Rickettsial disease",2008,"Waitemata","Male",1,0.4
"Leprosy",2008,"Waitemata","Male",0,0
"Hepatitis NOS",2008,"Waitemata","Male",0,0
"Mpox",2008,"Waitemata","Male",0,0
"Brucellosis",2008,"Waitemata","Male",1,0.4
"Shigellosis",2008,"Waitemata","Male",11,4.5
"Cysticercosis",2008,"Waitemata","Male",0,0
"Haemophilus influenzae type b",2008,"Waitemata","Male",1,0.4
"Diphtheria",2008,"Waitemata","Male",0,0
"VTEC/STEC infection",2008,"Waitemata","Male",9,3.7
"Hepatitis B",2008,"Waitemata","Male",6,2.4
"Typhoid fever",2008,"Waitemata","Male",1,0.4
"Giardiasis",2008,"Waitemata","Male",100,40.8
"Measles",2008,"Waitemata","Male",0,0
"Meningococcal disease",2008,"Waitemata","Male",6,2.4
"Rabies and other lyssaviruses",2008,"Waitemata","Male",0,0
"Listeriosis",2008,"Waitemata","Male",1,0.4
"Rubella",2008,"Waitemata","Male",1,0.4
"Tuberculosis disease",2008,"Waitemata","Male",25,10.2
"Cryptosporidiosis",2008,"Waitemata","Male",7,2.9
"Legionellosis",2008,"Waitemata","Male",3,1.2
"Hepatitis C",2008,"Waitemata","Male",0,0
"Arboviral diseases",2008,"Waitemata","Female",11,4.3
"Leptospirosis",2008,"Waitemata","Female",0,0
"Shigellosis",2008,"Waitemata","Female",7,2.7
"Hepatitis NOS",2008,"Waitemata","Female",0,0
"Pertussis",2008,"Waitemata","Female",13,5.1
"Malaria",2008,"Waitemata","Female",2,0.8
"VTEC/STEC infection",2008,"Waitemata","Female",5,2
"Tetanus",2008,"Waitemata","Female",0,0
"Campylobacteriosis",2008,"Waitemata","Female",404,158.1
"Mumps",2008,"Waitemata","Female",4,1.6
"Taeniasis",2008,"Waitemata","Female",0,0
"Hepatitis B",2008,"Waitemata","Female",2,0.8
"Cholera",2008,"Waitemata","Female",0,0
"Q fever",2008,"Waitemata","Female",0,0
"Giardiasis",2008,"Waitemata","Female",89,34.8
"Measles",2008,"Waitemata","Female",0,0
"Meningoencephalitis - primary amoebic",2008,"Waitemata","Female",0,0
"Yersiniosis",2008,"Waitemata","Female",18,7
"Hydatid disease",2008,"Waitemata","Female",0,0
"Toxic shellfish poisoning",2008,"Waitemata","Female",0,0
"Meningococcal disease",2008,"Waitemata","Female",1,0.4
"Haemophilus influenzae type b",2008,"Waitemata","Female",0,0
"Trichinosis",2008,"Waitemata","Female",0,0
"Rheumatic fever",2008,"Waitemata","Female",3,1.2
"Brucellosis",2008,"Waitemata","Female",0,0
"Diphtheria",2008,"Waitemata","Female",0,0
"Invasive pneumococcal disease",2008,"Waitemata","Female",3,1.2
"Cysticercosis",2008,"Waitemata","Female",0,0
"Salmonellosis",2008,"Waitemata","Female",42,16.4
"Typhoid fever",2008,"Waitemata","Female",0,0
"Rubella",2008,"Waitemata","Female",0,0
"Poliomyelitis",2008,"Waitemata","Female",0,0
"Mpox",2008,"Waitemata","Female",0,0
"Legionellosis",2008,"Waitemata","Female",1,0.4
"Leprosy",2008,"Waitemata","Female",0,0
"Hepatitis A",2008,"Waitemata","Female",3,1.2
"Rabies and other lyssaviruses",2008,"Waitemata","Female",0,0
"Acute gastroenteritis",2008,"Waitemata","Female",63,24.7
"Paratyphoid fever",2008,"Waitemata","Female",2,0.8
"Rickettsial disease",2008,"Waitemata","Female",1,0.4
"Listeriosis",2008,"Waitemata","Female",1,0.4
"Tuberculosis disease",2008,"Waitemata","Female",24,9.4
"Hepatitis C",2008,"Waitemata","Female",1,0.4
"Cryptosporidiosis",2008,"Waitemata","Female",11,4.3
"Tetanus",2008,"Auckland","Male",0,0
"VTEC/STEC infection",2008,"Auckland","Male",9,4.4
"Arboviral diseases",2008,"Auckland","Male",15,7.4
"Measles",2008,"Auckland","Male",1,0.5
"Hydatid disease",2008,"Auckland","Male",0,0
"Hepatitis NOS",2008,"Auckland","Male",0,0
"Mumps",2008,"Auckland","Male",4,2
"Hepatitis B",2008,"Auckland","Male",8,3.9
"Haemophilus influenzae type b",2008,"Auckland","Male",0,0
"Cholera",2008,"Auckland","Male",0,0
"Taeniasis",2008,"Auckland","Male",0,0
"Typhoid fever",2008,"Auckland","Male",3,1.5
"Poliomyelitis",2008,"Auckland","Male",0,0
"Pertussis",2008,"Auckland","Male",3,1.5
"Yersiniosis",2008,"Auckland","Male",29,14.3
"Acute gastroenteritis",2008,"Auckland","Male",57,28
"Salmonellosis",2008,"Auckland","Male",55,27.1
"Q fever",2008,"Auckland","Male",0,0
"Shigellosis",2008,"Auckland","Male",13,6.4
"Mpox",2008,"Auckland","Male",0,0
"Leprosy",2008,"Auckland","Male",0,0
"Brucellosis",2008,"Auckland","Male",0,0
"Leptospirosis",2008,"Auckland","Male",0,0
"Rabies and other lyssaviruses",2008,"Auckland","Male",0,0
"Meningoencephalitis - primary amoebic",2008,"Auckland","Male",0,0
"Toxic shellfish poisoning",2008,"Auckland","Male",0,0
"Hepatitis A",2008,"Auckland","Male",8,3.9
"Listeriosis",2008,"Auckland","Male",1,0.5
"Campylobacteriosis",2008,"Auckland","Male",371,182.5
"Giardiasis",2008,"Auckland","Male",140,68.9
"Cryptosporidiosis",2008,"Auckland","Male",10,4.9
"Rheumatic fever",2008,"Auckland","Male",4,2
"Rubella",2008,"Auckland","Male",0,0
"Malaria",2008,"Auckland","Male",7,3.4
"Tuberculosis disease",2008,"Auckland","Male",28,13.8
"Diphtheria",2008,"Auckland","Male",0,0
"Invasive pneumococcal disease",2008,"Auckland","Male",6,3
"Hepatitis C",2008,"Auckland","Male",1,0.5
"Legionellosis",2008,"Auckland","Male",6,3
"Cysticercosis",2008,"Auckland","Male",0,0
"Meningococcal disease",2008,"Auckland","Male",4,2
"Paratyphoid fever",2008,"Auckland","Male",2,1
"Trichinosis",2008,"Auckland","Male",0,0
"Rickettsial disease",2008,"Auckland","Male",0,0
"Tetanus",2008,"Auckland","Female",0,0
"Mumps",2008,"Auckland","Female",3,1.4
"Pertussis",2008,"Auckland","Female",5,2.4
"Brucellosis",2008,"Auckland","Female",0,0
"Hepatitis B",2008,"Auckland","Female",1,0.5
"Measles",2008,"Auckland","Female",1,0.5
"Campylobacteriosis",2008,"Auckland","Female",325,153
"Meningococcal disease",2008,"Auckland","Female",6,2.8
"VTEC/STEC infection",2008,"Auckland","Female",1,0.5
"Acute gastroenteritis",2008,"Auckland","Female",45,21.2
"Rabies and other lyssaviruses",2008,"Auckland","Female",0,0
"Leprosy",2008,"Auckland","Female",1,0.5
"Poliomyelitis",2008,"Auckland","Female",0,0
"Mpox",2008,"Auckland","Female",0,0
"Leptospirosis",2008,"Auckland","Female",0,0
"Malaria",2008,"Auckland","Female",6,2.8
"Hepatitis NOS",2008,"Auckland","Female",1,0.5
"Haemophilus influenzae type b",2008,"Auckland","Female",0,0
"Shigellosis",2008,"Auckland","Female",10,4.7
"Typhoid fever",2008,"Auckland","Female",4,1.9
"Hepatitis C",2008,"Auckland","Female",1,0.5
"Yersiniosis",2008,"Auckland","Female",17,8
"Meningoencephalitis - primary amoebic",2008,"Auckland","Female",0,0
"Cholera",2008,"Auckland","Female",0,0
"Hydatid disease",2008,"Auckland","Female",1,0.5
"Toxic shellfish poisoning",2008,"Auckland","Female",0,0
"Rubella",2008,"Auckland","Female",0,0
"Giardiasis",2008,"Auckland","Female",121,57
"Invasive pneumococcal disease",2008,"Auckland","Female",8,3.8
"Legionellosis",2008,"Auckland","Female",4,1.9
"Salmonellosis",2008,"Auckland","Female",43,20.2
"Cysticercosis",2008,"Auckland","Female",0,0
"Taeniasis",2008,"Auckland","Female",1,0.5
"Diphtheria",2008,"Auckland","Female",0,0
"Rickettsial disease",2008,"Auckland","Female",1,0.5
"Listeriosis",2008,"Auckland","Female",2,0.9
"Rheumatic fever",2008,"Auckland","Female",6,2.8
"Paratyphoid fever",2008,"Auckland","Female",1,0.5
"Q fever",2008,"Auckland","Female",0,0
"Arboviral diseases",2008,"Auckland","Female",15,7.1
"Cryptosporidiosis",2008,"Auckland","Female",6,2.8
"Tuberculosis disease",2008,"Auckland","Female",26,12.2
"Hepatitis A",2008,"Auckland","Female",4,1.9
"Trichinosis",2008,"Auckland","Female",0,0
"Yersiniosis",2008,"Bay of Plenty","Male",10,10.4
"Hepatitis B",2008,"Bay of Plenty","Male",0,0
"Cholera",2008,"Bay of Plenty","Male",0,0
"Malaria",2008,"Bay of Plenty","Male",3,3.1
"Rabies and other lyssaviruses",2008,"Bay of Plenty","Male",0,0
"Poliomyelitis",2008,"Bay of Plenty","Male",0,0
"Tuberculosis disease",2008,"Bay of Plenty","Male",6,6.3
"Toxic shellfish poisoning",2008,"Bay of Plenty","Male",0,0
"Tetanus",2008,"Bay of Plenty","Male",0,0
"Invasive pneumococcal disease",2008,"Bay of Plenty","Male",3,3.1
"Leptospirosis",2008,"Bay of Plenty","Male",5,5.2
"Measles",2008,"Bay of Plenty","Male",0,0
"Hepatitis A",2008,"Bay of Plenty","Male",1,1
"Haemophilus influenzae type b",2008,"Bay of Plenty","Male",1,1
"Campylobacteriosis",2008,"Bay of Plenty","Male",135,140.9
"Mumps",2008,"Bay of Plenty","Male",3,3.1
"Leprosy",2008,"Bay of Plenty","Male",0,0
"Hepatitis NOS",2008,"Bay of Plenty","Male",0,0
"Hydatid disease",2008,"Bay of Plenty","Male",1,1
"Taeniasis",2008,"Bay of Plenty","Male",0,0
"Meningoencephalitis - primary amoebic",2008,"Bay of Plenty","Male",0,0
"Rickettsial disease",2008,"Bay of Plenty","Male",0,0
"Legionellosis",2008,"Bay of Plenty","Male",4,4.2
"VTEC/STEC infection",2008,"Bay of Plenty","Male",0,0
"Q fever",2008,"Bay of Plenty","Male",0,0
"Hepatitis C",2008,"Bay of Plenty","Male",1,1
"Rubella",2008,"Bay of Plenty","Male",1,1
"Cysticercosis",2008,"Bay of Plenty","Male",0,0
"Giardiasis",2008,"Bay of Plenty","Male",21,21.9
"Acute gastroenteritis",2008,"Bay of Plenty","Male",6,6.3
"Brucellosis",2008,"Bay of Plenty","Male",0,0
"Salmonellosis",2008,"Bay of Plenty","Male",35,36.5
"Pertussis",2008,"Bay of Plenty","Male",3,3.1
"Typhoid fever",2008,"Bay of Plenty","Male",0,0
"Listeriosis",2008,"Bay of Plenty","Male",0,0
"Trichinosis",2008,"Bay of Plenty","Male",0,0
"Meningococcal disease",2008,"Bay of Plenty","Male",2,2.1
"Mpox",2008,"Bay of Plenty","Male",0,0
"Shigellosis",2008,"Bay of Plenty","Male",3,3.1
"Arboviral diseases",2008,"Bay of Plenty","Male",1,1
"Cryptosporidiosis",2008,"Bay of Plenty","Male",13,13.6
"Paratyphoid fever",2008,"Bay of Plenty","Male",0,0
"Diphtheria",2008,"Bay of Plenty","Male",0,0
"Rheumatic fever",2008,"Bay of Plenty","Male",8,8.4
"Rubella",2008,"Bay of Plenty","Female",1,1
"Cholera",2008,"Bay of Plenty","Female",0,0
"Malaria",2008,"Bay of Plenty","Female",0,0
"Shigellosis",2008,"Bay of Plenty","Female",2,2
"Tuberculosis disease",2008,"Bay of Plenty","Female",2,2
"Rickettsial disease",2008,"Bay of Plenty","Female",0,0
"Taeniasis",2008,"Bay of Plenty","Female",0,0
"Poliomyelitis",2008,"Bay of Plenty","Female",0,0
"Toxic shellfish poisoning",2008,"Bay of Plenty","Female",0,0
"Haemophilus influenzae type b",2008,"Bay of Plenty","Female",1,1
"Measles",2008,"Bay of Plenty","Female",0,0
"Legionellosis",2008,"Bay of Plenty","Female",5,4.9
"Giardiasis",2008,"Bay of Plenty","Female",38,37.5
"Salmonellosis",2008,"Bay of Plenty","Female",40,39.5
"Hepatitis A",2008,"Bay of Plenty","Female",0,0
"VTEC/STEC infection",2008,"Bay of Plenty","Female",3,3
"Acute gastroenteritis",2008,"Bay of Plenty","Female",17,16.8
"Leprosy",2008,"Bay of Plenty","Female",0,0
"Rheumatic fever",2008,"Bay of Plenty","Female",3,3
"Cryptosporidiosis",2008,"Bay of Plenty","Female",18,17.8
"Arboviral diseases",2008,"Bay of Plenty","Female",4,3.9
"Hepatitis B",2008,"Bay of Plenty","Female",0,0
"Invasive pneumococcal disease",2008,"Bay of Plenty","Female",5,4.9
"Pertussis",2008,"Bay of Plenty","Female",11,10.9
"Listeriosis",2008,"Bay of Plenty","Female",2,2
"Diphtheria",2008,"Bay of Plenty","Female",0,0
"Tetanus",2008,"Bay of Plenty","Female",0,0
"Paratyphoid fever",2008,"Bay of Plenty","Female",0,0
"Rabies and other lyssaviruses",2008,"Bay of Plenty","Female",0,0
"Meningoencephalitis - primary amoebic",2008,"Bay of Plenty","Female",0,0
"Q fever",2008,"Bay of Plenty","Female",0,0
"Hepatitis C",2008,"Bay of Plenty","Female",1,1
"Campylobacteriosis",2008,"Bay of Plenty","Female",122,120.3
"Cysticercosis",2008,"Bay of Plenty","Female",0,0
"Typhoid fever",2008,"Bay of Plenty","Female",0,0
"Brucellosis",2008,"Bay of Plenty","Female",0,0
"Yersiniosis",2008,"Bay of Plenty","Female",7,6.9
"Mpox",2008,"Bay of Plenty","Female",0,0
"Leptospirosis",2008,"Bay of Plenty","Female",2,2
"Hydatid disease",2008,"Bay of Plenty","Female",0,0
"Trichinosis",2008,"Bay of Plenty","Female",0,0
"Meningococcal disease",2008,"Bay of Plenty","Female",1,1
"Hepatitis NOS",2008,"Bay of Plenty","Female",0,0
"Mumps",2008,"Bay of Plenty","Female",2,2
"Yersiniosis",2008,"Capital, Coast and Hutt Valley","Male",45,34
"Cryptosporidiosis",2008,"Capital, Coast and Hutt Valley","Male",24,18.1
"Toxic shellfish poisoning",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Poliomyelitis",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Giardiasis",2008,"Capital, Coast and Hutt Valley","Male",130,98.2
"Measles",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Rickettsial disease",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Cholera",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Legionellosis",2008,"Capital, Coast and Hutt Valley","Male",2,1.5
"Salmonellosis",2008,"Capital, Coast and Hutt Valley","Male",75,56.6
"Tuberculosis disease",2008,"Capital, Coast and Hutt Valley","Male",26,19.6
"Campylobacteriosis",2008,"Capital, Coast and Hutt Valley","Male",504,380.6
"VTEC/STEC infection",2008,"Capital, Coast and Hutt Valley","Male",4,3
"Rheumatic fever",2008,"Capital, Coast and Hutt Valley","Male",8,6
"Meningoencephalitis - primary amoebic",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Rubella",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Arboviral diseases",2008,"Capital, Coast and Hutt Valley","Male",2,1.5
"Hepatitis A",2008,"Capital, Coast and Hutt Valley","Male",3,2.3
"Leprosy",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Acute gastroenteritis",2008,"Capital, Coast and Hutt Valley","Male",42,31.7
"Shigellosis",2008,"Capital, Coast and Hutt Valley","Male",9,6.8
"Taeniasis",2008,"Capital, Coast and Hutt Valley","Male",2,1.5
"Tetanus",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Diphtheria",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Haemophilus influenzae type b",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Invasive pneumococcal disease",2008,"Capital, Coast and Hutt Valley","Male",4,3
"Hepatitis B",2008,"Capital, Coast and Hutt Valley","Male",3,2.3
"Hepatitis C",2008,"Capital, Coast and Hutt Valley","Male",1,0.8
"Hepatitis NOS",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Typhoid fever",2008,"Capital, Coast and Hutt Valley","Male",4,3
"Trichinosis",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Brucellosis",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Cysticercosis",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Listeriosis",2008,"Capital, Coast and Hutt Valley","Male",1,0.8
"Leptospirosis",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Malaria",2008,"Capital, Coast and Hutt Valley","Male",1,0.8
"Paratyphoid fever",2008,"Capital, Coast and Hutt Valley","Male",1,0.8
"Rabies and other lyssaviruses",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Mpox",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Q fever",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Mumps",2008,"Capital, Coast and Hutt Valley","Male",6,4.5
"Meningococcal disease",2008,"Capital, Coast and Hutt Valley","Male",7,5.3
"Pertussis",2008,"Capital, Coast and Hutt Valley","Male",19,14.3
"Hydatid disease",2008,"Capital, Coast and Hutt Valley","Male",0,0
"Toxic shellfish poisoning",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Paratyphoid fever",2008,"Capital, Coast and Hutt Valley","Female",1,0.7
"Malaria",2008,"Capital, Coast and Hutt Valley","Female",1,0.7
"Giardiasis",2008,"Capital, Coast and Hutt Valley","Female",129,91
"Arboviral diseases",2008,"Capital, Coast and Hutt Valley","Female",3,2.1
"Hepatitis B",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Haemophilus influenzae type b",2008,"Capital, Coast and Hutt Valley","Female",2,1.4
"Cryptosporidiosis",2008,"Capital, Coast and Hutt Valley","Female",20,14.1
"Invasive pneumococcal disease",2008,"Capital, Coast and Hutt Valley","Female",2,1.4
"Meningococcal disease",2008,"Capital, Coast and Hutt Valley","Female",5,3.5
"Rheumatic fever",2008,"Capital, Coast and Hutt Valley","Female",10,7.1
"Rickettsial disease",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Tetanus",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Tuberculosis disease",2008,"Capital, Coast and Hutt Valley","Female",16,11.3
"Salmonellosis",2008,"Capital, Coast and Hutt Valley","Female",61,43
"Acute gastroenteritis",2008,"Capital, Coast and Hutt Valley","Female",50,35.3
"Mpox",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Mumps",2008,"Capital, Coast and Hutt Valley","Female",3,2.1
"Q fever",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Cysticercosis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Leprosy",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Listeriosis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Meningoencephalitis - primary amoebic",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Cholera",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Measles",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Rubella",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Taeniasis",2008,"Capital, Coast and Hutt Valley","Female",2,1.4
"Hepatitis NOS",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Diphtheria",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Campylobacteriosis",2008,"Capital, Coast and Hutt Valley","Female",374,263.9
"Legionellosis",2008,"Capital, Coast and Hutt Valley","Female",3,2.1
"Typhoid fever",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Trichinosis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Brucellosis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Yersiniosis",2008,"Capital, Coast and Hutt Valley","Female",45,31.8
"Shigellosis",2008,"Capital, Coast and Hutt Valley","Female",5,3.5
"Hepatitis A",2008,"Capital, Coast and Hutt Valley","Female",2,1.4
"Poliomyelitis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Leptospirosis",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Rabies and other lyssaviruses",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Hepatitis C",2008,"Capital, Coast and Hutt Valley","Female",1,0.7
"Pertussis",2008,"Capital, Coast and Hutt Valley","Female",24,16.9
"VTEC/STEC infection",2008,"Capital, Coast and Hutt Valley","Female",3,2.1
"Hydatid disease",2008,"Capital, Coast and Hutt Valley","Female",0,0
"Trichinosis",2008,"Nelson Marlborough","Male",0,0
"Toxic shellfish poisoning",2008,"Nelson Marlborough","Male",1,1.5
"Invasive pneumococcal disease",2008,"Nelson Marlborough","Male",0,0
"Listeriosis",2008,"Nelson Marlborough","Male",0,0
"Giardiasis",2008,"Nelson Marlborough","Male",25,38.5
"Rickettsial disease",2008,"Nelson Marlborough","Male",0,0
"Mpox",2008,"Nelson Marlborough","Male",0,0
"Tetanus",2008,"Nelson Marlborough","Male",0,0
"Arboviral diseases",2008,"Nelson Marlborough","Male",1,1.5
"Measles",2008,"Nelson Marlborough","Male",0,0
"Tuberculosis disease",2008,"Nelson Marlborough","Male",4,6.2
"Campylobacteriosis",2008,"Nelson Marlborough","Male",123,189.4
"Taeniasis",2008,"Nelson Marlborough","Male",0,0
"Mumps",2008,"Nelson Marlborough","Male",0,0
"Paratyphoid fever",2008,"Nelson Marlborough","Male",0,0
"Cryptosporidiosis",2008,"Nelson Marlborough","Male",16,24.6
"Leprosy",2008,"Nelson Marlborough","Male",0,0
"Q fever",2008,"Nelson Marlborough","Male",0,0
"Shigellosis",2008,"Nelson Marlborough","Male",3,4.6
"Hepatitis C",2008,"Nelson Marlborough","Male",0,0
"Pertussis",2008,"Nelson Marlborough","Male",11,16.9
"Haemophilus influenzae type b",2008,"Nelson Marlborough","Male",0,0
"Meningoencephalitis - primary amoebic",2008,"Nelson Marlborough","Male",0,0
"Salmonellosis",2008,"Nelson Marlborough","Male",36,55.4
"Rubella",2008,"Nelson Marlborough","Male",0,0
"VTEC/STEC infection",2008,"Nelson Marlborough","Male",1,1.5
"Cysticercosis",2008,"Nelson Marlborough","Male",0,0
"Hepatitis A",2008,"Nelson Marlborough","Male",1,1.5
"Hydatid disease",2008,"Nelson Marlborough","Male",0,0
"Yersiniosis",2008,"Nelson Marlborough","Male",11,16.9
"Cholera",2008,"Nelson Marlborough","Male",0,0
"Leptospirosis",2008,"Nelson Marlborough","Male",3,4.6
"Legionellosis",2008,"Nelson Marlborough","Male",0,0
"Poliomyelitis",2008,"Nelson Marlborough","Male",0,0
"Malaria",2008,"Nelson Marlborough","Male",0,0
"Meningococcal disease",2008,"Nelson Marlborough","Male",2,3.1
"Hepatitis NOS",2008,"Nelson Marlborough","Male",0,0
"Diphtheria",2008,"Nelson Marlborough","Male",0,0
"Brucellosis",2008,"Nelson Marlborough","Male",0,0
"Rheumatic fever",2008,"Nelson Marlborough","Male",0,0
"Hepatitis B",2008,"Nelson Marlborough","Male",0,0
"Typhoid fever",2008,"Nelson Marlborough","Male",0,0
"Rabies and other lyssaviruses",2008,"Nelson Marlborough","Male",0,0
"Acute gastroenteritis",2008,"Nelson Marlborough","Male",2,3.1
"Taeniasis",2008,"Nelson Marlborough","Female",0,0
"Tetanus",2008,"Nelson Marlborough","Female",0,0
"Meningoencephalitis - primary amoebic",2008,"Nelson Marlborough","Female",0,0
"Measles",2008,"Nelson Marlborough","Female",0,0
"Q fever",2008,"Nelson Marlborough","Female",0,0
"Meningococcal disease",2008,"Nelson Marlborough","Female",4,6
"Cysticercosis",2008,"Nelson Marlborough","Female",0,0
"VTEC/STEC infection",2008,"Nelson Marlborough","Female",2,3
"Haemophilus influenzae type b",2008,"Nelson Marlborough","Female",0,0
"Tuberculosis disease",2008,"Nelson Marlborough","Female",1,1.5
"Arboviral diseases",2008,"Nelson Marlborough","Female",0,0
"Mumps",2008,"Nelson Marlborough","Female",1,1.5
"Mpox",2008,"Nelson Marlborough","Female",0,0
"Trichinosis",2008,"Nelson Marlborough","Female",0,0
"Campylobacteriosis",2008,"Nelson Marlborough","Female",75,112.9
"Listeriosis",2008,"Nelson Marlborough","Female",0,0
"Rubella",2008,"Nelson Marlborough","Female",0,0
"Invasive pneumococcal disease",2008,"Nelson Marlborough","Female",2,3
"Cryptosporidiosis",2008,"Nelson Marlborough","Female",15,22.6
"Brucellosis",2008,"Nelson Marlborough","Female",0,0
"Salmonellosis",2008,"Nelson Marlborough","Female",31,46.7
"Rabies and other lyssaviruses",2008,"Nelson Marlborough","Female",0,0
"Shigellosis",2008,"Nelson Marlborough","Female",4,6
"Leptospirosis",2008,"Nelson Marlborough","Female",0,0
"Pertussis",2008,"Nelson Marlborough","Female",22,33.1
"Paratyphoid fever",2008,"Nelson Marlborough","Female",0,0
"Hydatid disease",2008,"Nelson Marlborough","Female",0,0
"Yersiniosis",2008,"Nelson Marlborough","Female",3,4.5
