"Disease","Report Year","Case Count","Case rate per 100,000"
"Brucellosis",2023,4,0.1
"Trichinosis",2023,0,0
"Leprosy",2023,4,0.1
"Cysticercosis",2023,0,0
"Cryptosporidiosis",2023,831,15.9
"Shigellosis",2023,122,2.3
"Diphtheria",2023,3,0.1
"Tuberculosis disease",2024,365,6.8
"Toxic shellfish poisoning",2024,1,0
"Measles",2024,1,0
"Hepatitis B",2024,12,0.2
"Rheumatic fever",2024,208,3.9
"VTEC/STEC infection",2024,1115,20.9
"Pertussis",2024,1748,32.7
"Haemophilus influenzae type b",2024,1,0
"Rabies and other lyssaviruses",2024,0,0
"Hepatitis C",2024,20,0.4
"Acute gastroenteritis",2024,440,8.2
"Brucellosis",2024,1,0
"Mumps",2024,19,0.4
"Meningococcal disease",2024,43,0.8
"Taeniasis",2024,2,0
"Listeriosis",2024,36,0.7
"Q fever",2024,2,0
"Paratyphoid fever",2024,14,0.3
"Cysticercosis",2024,0,0
"Legionellosis",2024,183,3.4
"Tetanus",2024,2,0
"Malaria",2024,29,0.5
"Cholera",2024,1,0
"Poliomyelitis",2024,0,0
"Invasive pneumococcal disease",2024,718,13.5
"Giardiasis",2024,844,15.8
"Hepatitis A",2024,68,1.3
"Meningoencephalitis - primary amoebic",2024,0,0
"Hepatitis NOS",2024,5,0.1
"Hydatid disease",2024,2,0
"Campylobacteriosis",2024,5801,108.7
"Rubella",2024,0,0
"Arboviral diseases",2024,139,2.6
"Rickettsial disease",2024,2,0
"Typhoid fever",2024,63,1.2
"Leprosy",2024,3,0.1
"Salmonellosis",2024,844,15.8
"Diphtheria",2024,2,0
"Leptospirosis",2024,101,1.9
"Trichinosis",2024,0,0
"Yersiniosis",2024,1140,21.4
"Cryptosporidiosis",2024,1234,23.1
"Shigellosis",2024,157,2.9
"Mpox",2024,23,0.4
